City,State,Cost of Living Index,city_state,geocode,county
Prescott,AZ,104.6,"Prescott, AZ","Prescott, Yavapai County, Arizona, United States",Yavapai County
Providence,RI,111.5,"Providence, RI","Providence, Providence County, Rhode Island, United States",Providence County
Provo,UT,100.9,"Provo, UT","Provo, Utah County, Utah, 84606, United States",Utah County
Pueblo,CO,92.2,"Pueblo, CO","Pueblo, Pueblo County, Colorado, 81003, United States",Pueblo County
Punta Gorda,FL,100.3,"Punta Gorda, FL","Punta Gorda, Charlotte County, Florida, United States",Charlotte County
Quincy,IL,87.3,"Quincy, IL","Quincy, Adams County, Illinois, 62301, United States",Adams County
Racine,WI,90.9,"Racine, WI","Racine, Racine County, Wisconsin, United States",Racine County
Raleigh,NC,99.7,"Raleigh, NC","Raleigh, Wake County, North Carolina, United States",Wake County
Rapid City,SD,94.2,"Rapid City, SD","Rapid City, Pennington County, South Dakota, United States",Pennington County
Reading,PA,96.0,"Reading, PA","Reading, Berks County, Pennsylvania, United States",Berks County
Redding,CA,108.7,"Redding, CA","Redding, Shasta County, California, 96049-6073, United States",Shasta County
Reno,NV,107.4,"Reno, NV","Reno, Washoe County, Nevada, United States",Washoe County
Richmond,IN,84.2,"Richmond, IN","Richmond, Wayne County, Indiana, 47374, United States",Wayne County
Richmond,VA,99.2,"Richmond, VA","Richmond, Virginia, United States",
Richmond,KY,90.8,"Richmond, KY","Richmond, Madison County, Kentucky, 40475, United States",Madison County
Riverside,CA,116.1,"Riverside, CA","Riverside, Riverside County, California, United States",Riverside County
Roanoke Rapids,NC,83.1,"Roanoke Rapids, NC","Roanoke Rapids, Halifax County, North Carolina, United States",Halifax County
Roanoke,VA,94.1,"Roanoke, VA","Roanoke, Virginia, United States",
Rochester,MN,97.3,"Rochester, MN","Rochester, Olmsted County, Minnesota, United States",Olmsted County
Rochester,NY,96.6,"Rochester, NY","Rochester, Monroe County, New York, United States",Monroe County
Rockford,IL,87.2,"Rockford, IL","Rockford, Rockford Township, Winnebago County, Illinois, 61104, United States",Winnebago County
Rocky Mount,NC,88.3,"Rocky Mount, NC","Rocky Mount, Edgecombe County, North Carolina, United States",Edgecombe County
Rome,GA,89.6,"Rome, GA","Rome, Floyd County, Georgia, United States",Floyd County
Roseburg,OR,100.8,"Roseburg, OR","Roseburg, Douglas County, Oregon, United States",Douglas County
Roswell,NM,86.3,"Roswell, NM","Roswell, Chaves County, New Mexico, 88201, United States",Chaves County
Russellville,AR,85.5,"Russellville, AR","Russellville, Pope County, Arkansas, United States",Pope County
Sacramento,CA,120.3,"Sacramento, CA","Sacramento, Sacramento County, California, United States",Sacramento County
Saginaw,MI,84.0,"Saginaw, MI","City of Saginaw, Saginaw County, Michigan, United States",Saginaw County
Salem,OR,105.8,"Salem, OR","Salem, Marion County, Oregon, United States",Marion County
