County & State,FIPS,2017,2018,2019,2020,2021
"Washington County,  Arkansas",05143,179355,181010,179396,201109,216113
"White County,  Arkansas",05145,107284,122231,128652,128457,133985
"Woodruff County,  Arkansas",05147,63075,65761,69074,68842,71805
"Yell County,  Arkansas",05149,99765,103545,115297,113424,118305
"Alameda County,  California",06001,751745,865993,832582,822332,826254
"Alpine County,  California",06003,376397,364143,369943,379519,408597
"Amador County,  California",06005,320257,295085,314187,325910,350881
"Butte County,  California",06007,279990,287382,306635,348008,368324
"Calaveras County,  California",06009,311070,289578,315565,331936,357369
"Colusa County,  California",06011,250080,236830,264790,275523,296633
"Contra Costa County,  California",06013,598122,712199,662506,641011,644067
"Del Norte County,  California",06015,234387,196900,216242,227316,244733
"El Dorado County,  California",06017,478533,507964,506756,528548,571418
"Fresno County,  California",06019,245420,266351,284187,303149,325512
"Glenn County,  California",06021,260798,227298,235322,242277,260840
"Humboldt County,  California",06023,314874,344442,345987,361545,389246
"Imperial County,  California",06025,191125,213210,222567,241869,259957
"Inyo County,  California",06027,306349,257484,278147,279574,300995
"Kern County,  California",06029,209625,215944,238148,249876,268730
"Kings County,  California",06031,206040,235653,242654,261225,280401
"Lake County,  California",06033,189557,222956,260444,265133,285447
"Lassen County,  California",06035,220607,188003,195254,210902,227060
"Los Angeles County,  California",06037,562601,635118,646140,668102,708960
"Madera County,  California",06039,262810,261591,288029,312052,334406
"Marin County,  California",06041,1037699,1124350,1059218,1005705,1010500
"Mariposa County,  California",06043,300990,274855,285673,286431,308377
"Mendocino County,  California",06045,389635,434155,404818,447776,482084
"Merced County,  California",06047,240701,276393,274217,295344,320503
"Modoc County,  California",06049,195343,151567,141299,146072,157264
"Mono County,  California",06051,399363,330144,345987,324664,349539
"Monterey County,  California",06053,498889,555032,591631,625363,671034
"Napa County,  California",06055,641587,662634,678449,687803,727885
"Nevada County,  California",06057,433631,463070,483364,503878,542485
"Orange County,  California",06059,707551,732970,733573,752121,798116
"Placer County,  California",06061,471932,503983,508631,562977,608640
"Plumas County,  California",06063,277130,242444,248996,251731,271019
"Riverside County,  California",06065,350939,380111,379304,405570,440583
"Sacramento County,  California",06067,348909,380247,392408,410835,444158
"San Benito County,  California",06069,525247,511987,486880,545635,563455
"San Bernardino County,  California",06071,315699,351983,367350,390271,423964
"San Diego County,  California",06073,548269,602190,626184,648324,695789
"San Francisco County,  California",06075,1077650,1224255,1182325,1135007,1140419
"San Joaquin County,  California",06077,323411,380271,378663,404217,443866
"San Luis Obispo County,  California",06079,566104,609950,611028,655484,691171
"San Mateo County,  California",06081,1050406,1205405,1195477,1150016,1155499
"Santa Barbara County,  California",06083,598026,597472,641317,607995,650473
"Santa Clara County,  California",06085,939597,1081779,1089740,1123226,1159910
"Santa Cruz County,  California",06087,765666,826807,834259,844541,896764
"Shasta County,  California",06089,257587,262223,278911,293240,316971
"Sierra County,  California",06091,217417,166395,183594,240407,258826
"Siskiyou County,  California",06093,222903,187049,197480,206642,222475
"Solano County,  California",06095,401355,446757,456998,478421,512940
"Sonoma County,  California",06097,591526,685881,668245,673182,704805
"Stanislaus County,  California",06099,280910,314166,332315,358331,387237
"Sutter County,  California",06101,271238,299925,341166,329166,355339
"Tehama County,  California",06103,218820,202725,215606,252978,272361
"Trinity County,  California",06105,335695,303453,301679,298898,321800
"Tulare County,  California",06107,194265,218566,232511,257986,277316
"Tuolumne County,  California",06109,330847,289684,295637,300457,323477
"Ventura County,  California",06111,585991,620351,633880,653089,690025
"Yolo County,  California",06113,424089,463096,480929,494118,534196
"Yuba County,  California",06115,243668,272660,296798,304203,328391
"Adams County,  Colorado",08001,289242,336423,358366,374414,402197
"Alamosa County,  Colorado",08003,171668,165908,167802,164312,175298
"Arapahoe County,  Colorado",08005,350027,399585,409502,428483,460278
"Archuleta County,  Colorado",08007,314307,297311,314829,327999,349928
"Baca County,  Colorado",08009,87082,86589,87577,87111,92936
"Bent County,  Colorado",08011,78161,84310,85872,84503,90153
"Boulder County,  Colorado",08013,506202,545063,570674,606350,640994
"Broomfield County,  Colorado",08014,412618,454455,463977,502071,539327
"Chaffee County,  Colorado",08015,326204,339846,357872,373276,398233
"Cheyenne County,  Colorado",08017,97909,97656,110803,112671,120204
"Clear Creek County,  Colorado",08019,410333,345805,372559,394872,424173
"Conejos County,  Colorado",08021,127413,122722,125292,125712,134117
"Costilla County,  Colorado",08023,121701,123915,120605,117888,125769
"Crowley County,  Colorado",08025,90532,86480,76390,82834,88372
"Custer County,  Colorado",08027,262200,269425,279351,294093,313756
"Delta County,  Colorado",08029,229604,223743,233325,251945,268791
"Denver County,  Colorado",08031,381202,431002,454062,467103,501765
"Dolores County,  Colorado",08033,141688,132379,123481,121643,129776
"Douglas County,  Colorado",08035,480024,511508,530870,546120,586644
"Eagle County,  Colorado",08037,498942,511180,573831,586621,625842
"Elbert County,  Colorado",08039,487658,414530,444044,483909,519817
"El Paso County,  Colorado",08041,268192,300747,311424,347274,377896
"Fremont County,  Colorado",08043,188561,173612,173982,181526,193663
"Garfield County,  Colorado",08045,342027,351348,360003,376197,401349
"Gilpin County,  Colorado",08047,365382,329115,352105,368881,396254
"Grand County,  Colorado",08049,335483,309247,315149,321531,343028
"Gunnison County,  Colorado",08051,379738,340605,361601,383187,408806
"Hinsdale County,  Colorado",08053,328345,353084,352758,365138,389551
"Huerfano County,  Colorado",08055,175594,149089,167483,168590,179861
"Jackson County,  Colorado",08057,187966,185873,208181,205208,218928
"Jefferson County,  Colorado",08059,397452,445183,459385,481404,517126
"Kiowa County,  Colorado",08061,99455,90278,85339,90241,96274
"Kit Carson County,  Colorado",08063,145495,141276,150010,127694,136231
"Lake County,  Colorado",08065,200457,214411,227998,242139,258328
"La Plata County,  Colorado",08067,395799,387047,399955,412711,440305
"Larimer County,  Colorado",08069,360359,386590,413805,433144,458089
"Las Animas County,  Colorado",08071,179162,158312,156722,157635,168175
"Lincoln County,  Colorado",08073,140736,143338,144576,153462,163723
"Logan County,  Colorado",08075,148350,161350,164606,164730,175743
"Mesa County,  Colorado",08077,218362,246974,244512,278953,303357
"Mineral County,  Colorado",08079,329654,302736,312805,321948,343473
"Moffat County,  Colorado",08081,209141,183595,181866,190185,202901
"Montezuma County,  Colorado",08083,214614,214736,221925,232437,247977
"Montrose County,  Colorado",08085,227106,219728,226826,234106,249758
"Morgan County,  Colorado",08087,173094,176758,195929,209902,223936
"Otero County,  Colorado",08089,109329,99609,97911,99004,105624
"Ouray County,  Colorado",08091,462300,456383,447366,468420,499739
"Park County,  Colorado",08093,353819,286134,297212,341534,366877
