County & State,FIPS,2017,2018,2019,2020,2021
"Pettis County,  Missouri",29159,110458,116120,120099,124425,131814
"Phelps County,  Missouri",29161,124728,131443,134903,141036,149411
"Pike County,  Missouri",29163,103486,111013,110612,102173,108240
"Pulaski County,  Missouri",29169,141394,147705,157630,166318,176195
"Putnam County,  Missouri",29171,90196,88080,87885,100919,106912
"Ralls County,  Missouri",29173,122114,131339,141888,142290,150739
"Randolph County,  Missouri",29175,93138,97775,106025,109694,116209
"Reynolds County,  Missouri",29179,93247,94126,99144,100292,106248
"Ripley County,  Missouri",29181,88017,91520,88615,87546,92746
"St. Clair County,  Missouri",29185,86710,81826,87155,96009,101710
"Ste. Genevieve County,  Missouri",29186,142702,155105,165032,173631,183942
"St. Francois County,  Missouri",29187,124863,129984,131567,118261,125284
"Saline County,  Missouri",29195,97713,100797,106337,111366,117980
"Schuyler County,  Missouri",29197,93682,75572,73498,74383,78801
"Scotland County,  Missouri",29199,81808,85475,90908,118052,125063
"Scott County,  Missouri",29201,102724,107677,110820,114082,120857
"Shannon County,  Missouri",29203,97386,105697,114782,130484,138233
"Shelby County,  Missouri",29205,79085,73279,77877,75428,79907
"Stoddard County,  Missouri",29207,98584,95169,103523,108858,115323
"Stone County,  Missouri",29209,166777,167405,172434,180317,191025
"Sullivan County,  Missouri",29211,85839,80992,78606,80442,85220
"Taney County,  Missouri",29213,132571,129671,133652,146051,154723
"Texas County,  Missouri",29215,108170,110283,114990,116694,123624
"Vernon County,  Missouri",29217,98911,101214,103210,102695,108793
"Wayne County,  Missouri",29223,76253,75780,78085,88905,94185
"Worth County,  Missouri",29227,62962,63167,68807,66652,70611
"Wright County,  Missouri",29229,96079,93292,104669,108232,114659
"Jasper County,  Missouri",29097,122463,118739,130517,124646,132891
"Newton County,  Missouri",29145,116791,123221,128119,137299,146381
"McDonald County,  Missouri",29119,107062,101962,102904,115923,124572
"Crawford County,  Missouri",29055,124867,121270,123173,129401,135737
"Franklin County,  Missouri",29071,172456,173184,177603,173088,181564
"Jefferson County,  Missouri",29099,166340,169737,175514,172880,181346
"Lincoln County,  Missouri",29113,161678,160963,164544,169456,177754
"St. Charles County,  Missouri",29183,211734,229903,239033,246868,258957
"St. Louis County,  Missouri",29189,200144,206087,219392,222379,233268
"Warren County,  Missouri",29219,170965,173497,180111,186786,195932
"Washington County,  Missouri",29221,89175,94426,97891,97959,102755
"St. Louis city,  Missouri",29510,140369,147697,161723,156381,164039
"Boone County,  Missouri",29019,194753,186523,199314,207909,220861
"Howard County,  Missouri",29089,110170,119256,120397,135448,143886
"Bollinger County,  Missouri",29017,103448,102376,108486,115327,120442
"Cape Girardeau County,  Missouri",29031,161082,166903,165302,178196,186099
"Bates County,  Missouri",29013,122268,116522,120470,121639,129266
"Caldwell County,  Missouri",29025,114369,111465,113526,116014,123287
"Cass County,  Missouri",29037,182242,185165,202957,218866,232588
"Clay County,  Missouri",29047,176160,189469,196539,207827,220857
"Clinton County,  Missouri",29049,159762,152780,160346,169509,180137
"Jackson County,  Missouri",29095,144643,153103,167395,173861,184762
"Lafayette County,  Missouri",29107,138421,131908,133937,152314,161864
"Platte County,  Missouri",29165,217961,235626,247463,255909,271954
"Ray County,  Missouri",29177,141722,139547,136041,141912,150810
"Christian County,  Missouri",29043,166043,170101,186760,194423,209069
"Dallas County,  Missouri",29059,105513,112910,117738,120531,129611
"Greene County,  Missouri",29077,146677,155593,155721,164971,177399
"Polk County,  Missouri",29167,127820,128890,132258,138663,149110
"Webster County,  Missouri",29225,132392,128784,134572,142751,153505
"Andrew County,  Missouri",29003,133013,148097,155356,151211,159340
"Buchanan County,  Missouri",29021,112714,128336,145487,124527,131221
"DeKalb County,  Missouri",29063,115758,121170,125860,122789,129390
"Missoula County,  Montana",30063,272581,312424,324735,328498,363971
"Carbon County,  Montana",30009,247477,230731,248428,260849,275566
"Yellowstone County,  Montana",30111,220258,228803,239611,252632,266885
"Beaverhead County,  Montana",30001,199435,205780,205295,229659,250299
"Big Horn County,  Montana",30003,104562,106843,116815,134448,146530
"Blaine County,  Montana",30005,97473,91671,94590,100542,109578
"Broadwater County,  Montana",30007,218102,208345,214564,236909,258200
"Carter County,  Montana",30011,103380,104599,106703,118241,128867
"Chouteau County,  Montana",30015,146268,131417,144518,152679,166401
"Custer County,  Montana",30017,162218,167744,169271,181680,198008
"Daniels County,  Montana",30019,133035,131951,143359,134874,146995
"Dawson County,  Montana",30021,184902,164859,164952,171231,186620
"Deer Lodge County,  Montana",30023,153711,124686,126716,139992,152573
"Fallon County,  Montana",30025,168953,164752,174538,181040,197311
"Fergus County,  Montana",30027,143786,142849,142095,152466,166169
"Flathead County,  Montana",30029,268039,289011,337489,326790,356159
"Gallatin County,  Montana",30031,318583,368183,434079,441620,481308
"Garfield County,  Montana",30033,177223,124259,111443,132315,144206
"Glacier County,  Montana",30035,107870,112185,115656,114829,125149
"Golden Valley County,  Montana",30037,112241,105027,110706,113123,123290
"Granite County,  Montana",30039,255555,233880,228047,238828,260292
"Hill County,  Montana",30041,152175,136760,148415,153106,166865
"Jefferson County,  Montana",30043,286274,282067,292301,301414,328502
"Judith Basin County,  Montana",30045,144141,147978,148626,147349,160591
"Lake County,  Montana",30047,260163,239436,247850,269855,294107
"Lewis and Clark County,  Montana",30049,238583,260912,283874,298002,324784
"Liberty County,  Montana",30051,122638,115391,120080,107792,117480
"Lincoln County,  Montana",30053,194236,187510,200660,211320,230312
"McCone County,  Montana",30055,132799,119557,133036,122399,133399
"Madison County,  Montana",30057,280957,269459,268495,294804,321298
"Meagher County,  Montana",30059,164818,145627,163267,164301,179067
"Mineral County,  Montana",30061,200380,170736,174854,180401,196613
"Musselshell County,  Montana",30065,158083,172445,190022,184132,200680
"Park County,  Montana",30067,256264,251723,269338,289260,315255
"Petroleum County,  Montana",30069,92864,119664,140410,193302,210674
"Phillips County,  Montana",30071,143905,125861,133247,137753,150133
"Pondera County,  Montana",30073,132208,130456,130087,140632,153270
"Powder River County,  Montana",30075,127364,118489,129455,152040,165703
"Powell County,  Montana",30077,141187,150649,157474,152573,166285
"Prairie County,  Montana",30079,95582,107591,115235,120374,131192
"Ravalli County,  Montana",30081,282375,263476,276606,297789,324551
"Richland County,  Montana",30083,212313,227576,228995,245332,267380
"Roosevelt County,  Montana",30085,121338,124366,125768,119840,130611
"Rosebud County,  Montana",30087,151111,126716,123030,122506,133516
"Sanders County,  Montana",30089,213612,219029,236158,243306,265172
"Sheridan County,  Montana",30091,169780,156526,143148,135940,148157
"Silver Bow County,  Montana",30093,151348,142956,150943,159716,174070
"Stillwater County,  Montana",30095,238660,240611,259752,272414,296896
"Sweet Grass County,  Montana",30097,226609,241359,255012,271987,296430
"Teton County,  Montana",30099,169897,167317,171694,184132,200680
"Toole County,  Montana",30101,144850,133768,143570,147029,160242
"Treasure County,  Montana",30103,101725,112719,105334,126025,137350
"Valley County,  Montana",30105,144141,144879,138830,161422,175929
"Wheatland County,  Montana",30107,98417,95411,94590,101715,110856
"Wibaux County,  Montana",30109,125356,117634,107967,121013,131889
"Cascade County,  Montana",30013,179042,183423,195969,197972,211476
"Dakota County,  Nebraska",31043,131233,121970,119039,124981,129624
"Dixon County,  Nebraska",31051,95302,91791,93968,98961,102637
"Cass County,  Nebraska",31025,180578,177168,180218,181760,192317
"Douglas County,  Nebraska",31055,167585,178661,186236,198911,210464
"Sarpy County,  Nebraska",31153,184857,208616,220020,229971,243329
"Saunders County,  Nebraska",31155,174439,169920,170822,173184,183244
"Washington County,  Nebraska",31177,203627,194438,196160,205081,216993
"Adams County,  Nebraska",31001,123040,119127,123841,133169,138928
"Antelope County,  Nebraska",31003,92132,81105,84375,84979,88654
"Arthur County,  Nebraska",31005,117967,104869,109500,115344,120332
"Banner County,  Nebraska",31007,144038,141754,142370,144983,151253
"Blaine County,  Nebraska",31009,85526,88751,87830,78450,81843
"Boone County,  Nebraska",31011,115253,109104,117037,122702,128008
"Box Butte County,  Nebraska",31013,108529,108898,125726,117727,122819
"Boyd County,  Nebraska",31015,60989,65917,70243,75652,78924
"Brown County,  Nebraska",31017,83167,82862,83852,82595,86168
"Buffalo County,  Nebraska",31019,178484,166550,173566,181151,188986
"Burt County,  Nebraska",31021,104637,94640,99031,104048,108548
"Butler County,  Nebraska",31023,118203,115200,117874,121562,126819
"Cedar County,  Nebraska",31027,119618,117370,126668,125707,131144
"Chase County,  Nebraska",31029,107585,113547,128447,138143,144118
"Cherry County,  Nebraska",31031,134718,123776,126354,120215,125414
"Cheyenne County,  Nebraska",31033,134129,117887,109814,106742,111359
"Clay County,  Nebraska",31035,95671,87821,92436,94617,98709
"Colfax County,  Nebraska",31037,104165,97430,91913,104773,109304
"Cuming County,  Nebraska",31039,120916,116957,120596,126640,132117
"Custer County,  Nebraska",31041,102278,95880,99240,112027,116872
"Dawes County,  Nebraska",31045,123393,111068,125621,129749,135360
"Dawson County,  Nebraska",31047,104754,104352,103847,106328,110926
"Deuel County,  Nebraska",31049,81869,78832,81863,90472,94384
"Dodge County,  Nebraska",31053,134482,123569,128343,134930,140766
"Dundy County,  Nebraska",31057,84818,76352,79874,78658,82059
"Fillmore County,  Nebraska",31059,89301,78625,82805,83010,86600
"Franklin County,  Nebraska",31061,70662,64058,68254,73891,77086
"Frontier County,  Nebraska",31063,103103,101459,104893,104877,109413
"Furnas County,  Nebraska",31065,73493,67467,72023,75652,78924
"Gage County,  Nebraska",31067,127758,112411,120910,120422,125630
"Garden County,  Nebraska",31069,88475,84515,84899,84772,88438
"Garfield County,  Nebraska",31071,105109,99290,103114,108919,113629
"Gosper County,  Nebraska",31073,127994,120160,120491,131614,137307
"Grant County,  Nebraska",31075,59926,57135,60403,60418,63031
"Greeley County,  Nebraska",31077,70308,71703,82805,75341,78600
"Hall County,  Nebraska",31079,144509,141030,148965,151305,157848
"Hamilton County,  Nebraska",31081,131651,140720,146976,159906,166822
"Harlan County,  Nebraska",31083,92250,85961,92331,106431,111034
"Hayes County,  Nebraska",31085,86706,80072,65428,83839,87465
"Hitchcock County,  Nebraska",31087,69718,60338,60507,69124,72113
"Holt County,  Nebraska",31089,112777,106315,113582,118246,123359
"Hooker County,  Nebraska",31091,82577,88648,88144,95550,99682
"Howard County,  Nebraska",31093,128820,123569,133367,154206,160876
"Jefferson County,  Nebraska",31095,83756,78006,83852,87052,90817
"Johnson County,  Nebraska",31097,90599,84928,87097,97830,102061
"Kearney County,  Nebraska",31099,129646,132868,146558,155139,161849
"Keith County,  Nebraska",31101,117613,111998,119549,132962,138712
"Keya Paha County,  Nebraska",31103,87767,74389,74744,80938,84438
"Kimball County,  Nebraska",31105,94491,85961,83538,85601,89303
"Knox County,  Nebraska",31107,95789,87924,93483,99384,103683
"Lincoln County,  Nebraska",31111,134718,135141,142056,144465,150713
"Logan County,  Nebraska",31113,134836,114581,115990,114307,119251
"Loup County,  Nebraska",31115,113602,164381,128343,116587,121630
"McPherson County,  Nebraska",31117,157250,142064,124888,106431,111034
"Madison County,  Nebraska",31119,139555,130285,143312,151719,158281
"Merrick County,  Nebraska",31121,100980,93917,105522,119593,124765
"Morrill County,  Nebraska",31123,95081,90300,97251,99073,103358
"Nance County,  Nebraska",31125,92486,83068,82072,81145,84654
"Nemaha County,  Nebraska",31127,120562,118404,114629,110162,114926
"Nuckolls County,  Nebraska",31129,64292,64367,74116,70781,73843
"Otoe County,  Nebraska",31131,136606,135038,141009,149128,155578
"Pawnee County,  Nebraska",31133,75263,73459,74954,73683,76870
"Perkins County,  Nebraska",31135,115253,109104,118398,122702,128008
"Phelps County,  Nebraska",31137,129764,123983,132949,138869,144875
"Pierce County,  Nebraska",31139,116197,106005,122166,137521,143469
"Platte County,  Nebraska",31141,147694,141134,150640,155139,161849
"Polk County,  Nebraska",31143,121978,103525,104893,111199,116007
"Red Willow County,  Nebraska",31145,101569,94537,104265,112960,117846
"Richardson County,  Nebraska",31147,84936,71600,69929,71714,74816
"Rock County,  Nebraska",31149,83521,86478,81968,99695,104007
"Saline County,  Nebraska",31151,112894,98153,102590,102908,107358
"Scotts Bluff County,  Nebraska",31157,127051,120470,127610,132754,138496
"Sheridan County,  Nebraska",31161,82812,73253,75687,74927,78167
"Sherman County,  Nebraska",31163,102159,88234,93588,91923,95898
"Sioux County,  Nebraska",31165,105698,106625,119235,121976,127252
"Stanton County,  Nebraska",31167,121978,115614,120491,123842,129198
"Thayer County,  Nebraska",31169,76324,69740,69929,73994,77194
"Thomas County,  Nebraska",31171,99446,85031,125935,123635,128981
"Thurston County,  Nebraska",31173,80925,81725,85736,82699,86276
"Valley County,  Nebraska",31175,99918,95776,112849,114411,119359
"Wayne County,  Nebraska",31179,136960,137414,142266,142185,148334
"Webster County,  Nebraska",31181,91542,78109,81968,81249,84762
"Wheeler County,  Nebraska",31183,103929,107762,93169,101353,105737
"York County,  Nebraska",31185,138729,132661,133472,140112,146172
"Lancaster County,  Nebraska",31109,179552,190635,191183,205012,217371
"Seward County,  Nebraska",31159,173432,169701,168856,174597,185123
"Clark County,  Nevada",32003,248957,287340,296840,327222,348706
"Churchill County,  Nevada",32001,204930,185913,181920,201791,217304
"Douglas County,  Nevada",32005,369146,342362,362064,399157,429841
"Elko County,  Nevada",32007,250530,217797,209820,223920,241133
"Esmeralda County,  Nevada",32009,108300,80808,77324,68493,73758
"Eureka County,  Nevada",32011,126351,91362,88191,126554,136283
"Humboldt County,  Nevada",32013,217009,179757,181084,190305,204935
"Lander County,  Nevada",32015,148608,167003,193623,189567,204140
"Lincoln County,  Nevada",32017,174937,146114,140750,148472,159885
"Lyon County,  Nevada",32019,178737,173710,192160,226448,243857
"Mineral County,  Nevada",32021,113728,99938,89758,104215,112226
"Nye County,  Nevada",32023,143722,137538,145348,172076,185304
"Pershing County,  Nevada",32027,142771,111152,105328,119073,128226
"White Pine County,  Nevada",32033,169508,143585,158723,162381,174864
"Storey County,  Nevada",32029,269582,208055,230283,253618,277943
"Washoe County,  Nevada",32031,320278,368295,375023,403977,442723
"Carson City,  Nevada",32510,274967,243381,252906,290022,316069
"Hillsborough County,  New Hampshire",33011,277765,295749,301045,313723,335929
"Belknap County,  New Hampshire",33001,239329,230711,235755,241963,260871
"Carroll County,  New Hampshire",33003,242271,238249,250814,259376,279645
"Cheshire County,  New Hampshire",33005,206509,209671,204363,219422,236569
"Coos County,  New Hampshire",33007,134596,128964,132460,136739,147424
"Grafton County,  New Hampshire",33009,227044,227467,248057,235019,253385
"Merrimack County,  New Hampshire",33013,234491,242331,253571,269524,290586
"Sullivan County,  New Hampshire",33019,186363,179105,184531,185451,199943
"Rockingham County,  New Hampshire",33015,324173,346175,358923,376041,397205
"Strafford County,  New Hampshire",33017,238788,260134,260551,272460,287795
"Atlantic County,  New Jersey",34001,215105,221135,236875,227628,246903
"Cape May County,  New Jersey",34009,317203,301028,329393,339539,371696
"Mercer County,  New Jersey",34021,289989,304375,306355,303286,317684
"Bergen County,  New Jersey",34003,482661,492613,496082,492331,512532
"Essex County,  New Jersey",34013,402199,397400,409408,411286,428161
"Hudson County,  New Jersey",34017,366783,395724,422118,433062,450831
"Hunterdon County,  New Jersey",34019,433229,424424,440765,435116,452970
"Middlesex County,  New Jersey",34023,356191,356864,367009,368760,383891
"Monmouth County,  New Jersey",34025,423706,441707,454412,457098,475853
"Morris County,  New Jersey",34027,463722,484338,489519,494077,514349
"Ocean County,  New Jersey",34029,289104,292865,297107,300041,312352
"Passaic County,  New Jersey",34031,353943,349951,366176,369890,385067
"Somerset County,  New Jersey",34035,449812,445059,454829,452784,471362
"Sussex County,  New Jersey",34037,286322,281238,280544,287201,298985
"Union County,  New Jersey",34039,366783,386821,391073,390434,406453
"Warren County,  New Jersey",34041,267722,285321,281803,277941,297475
"Burlington County,  New Jersey",34005,267755,260228,266923,274937,289660
"Camden County,  New Jersey",34007,210682,210717,210863,216367,227953
"Gloucester County,  New Jersey",34015,230250,236484,235283,233445,245946
"Salem County,  New Jersey",34033,207855,205287,189203,192582,202895
"Cumberland County,  New Jersey",34011,161035,162621,174318,175941,188628
"Doña Ana County,  New Mexico",35013,151742,150785,153073,165475,175894
"Catron County,  New Mexico",35003,180354,167794,173877,183142,189456
"Chaves County,  New Mexico",35005,105399,122430,127452,103787,107365
"Cibola County,  New Mexico",35006,95826,91542,93279,88125,91163
"Colfax County,  New Mexico",35007,127877,107955,115416,109426,113198
"Curry County,  New Mexico",35009,136460,133746,137232,130517,135017
"De Baca County,  New Mexico",35011,72794,69014,102736,110992,114818
"Eddy County,  New Mexico",35015,135591,145877,159369,162781,168393
"Grant County,  New Mexico",35017,144283,127732,136157,130621,135125
"Guadalupe County,  New Mexico",35019,89307,82673,91774,88751,91811
"Harding County,  New Mexico",35021,71163,69115,89195,106919,110606
"Hidalgo County,  New Mexico",35023,84962,82775,89625,89795,92892
"Lea County,  New Mexico",35025,123212,151382,144217,154428,159752
"Lincoln County,  New Mexico",35027,175899,175236,222021,202458,209438
"Los Alamos County,  New Mexico",35028,297910,290837,314010,316165,327065
"Luna County,  New Mexico",35029,88982,85426,90807,90735,93864
"McKinley County,  New Mexico",35031,57969,73703,82210,59933,61999
"Mora County,  New Mexico",35033,91589,111217,111010,117257,121299
"Otero County,  New Mexico",35035,114885,120290,121542,124357,128644
"Quay County,  New Mexico",35037,82898,73601,77589,75909,78526
"Rio Arriba County,  New Mexico",35039,169380,170343,177101,174684,180707
"Roosevelt County,  New Mexico",35041,128746,116518,122294,123417,127672
"San Miguel County,  New Mexico",35047,131680,135479,136694,140959,145818
"Sierra County,  New Mexico",35051,107343,101533,120252,122581,126807
"Socorro County,  New Mexico",35053,127985,104998,104455,129577,134045
"Taos County,  New Mexico",35055,234895,222639,254260,250071,258692
"Union County,  New Mexico",35059,94957,91236,87368,91884,95052
"Bernalillo County,  New Mexico",35001,199890,205240,221319,224342,239547
"Sandoval County,  New Mexico",35043,196928,206069,230240,231788,247498
"Torrance County,  New Mexico",35057,115726,115784,119580,121585,129826
"Valencia County,  New Mexico",35061,137172,135893,150272,171155,182755
"San Juan County,  New Mexico",35045,151827,150395,151583,161049,166963
"Santa Fe County,  New Mexico",35049,308054,309958,322321,331363,352172
"Madison County,  New York",36053,138436,151413,140412,149267,156460
"Onondaga County,  New York",36067,143582,152348,156153,161705,169499
"Oswego County,  New York",36075,104985,107277,116905,113332,118794
"Chemung County,  New York",36015,98501,115783,118566,109316,114815
"Broome County,  New York",36007,111097,117007,122973,126291,130654
"Tioga County,  New York",36107,112048,115778,120503,128111,132536
"Allegany County,  New York",36003,72897,76193,78681,81563,85805
"Cattaraugus County,  New York",36009,89842,91786,91776,100032,105234
"Cayuga County,  New York",36011,125024,125673,146395,141348,148698
"Chautauqua County,  New York",36013,88006,90954,92309,101420,106694
"Chenango County,  New York",36017,95087,99686,103275,105050,110513
"Clinton County,  New York",36019,131245,142304,144265,162272,170711
"Columbia County,  New York",36021,230304,233467,246050,249387,262356
"Cortland County,  New York",36023,112196,118396,125740,132166,139040
"Delaware County,  New York",36025,137290,143448,145117,148714,156447
"Essex County,  New York",36031,150459,152699,161726,163980,172508
"Franklin County,  New York",36033,105352,106234,112325,116046,122081
"Fulton County,  New York",36035,112196,111847,115732,117007,123091
"Genesee County,  New York",36037,110952,116317,125208,127896,134547
"Greene County,  New York",36039,184263,183052,186001,188215,198002
"Hamilton County,  New York",36041,168606,170474,175567,177218,186434
"Jefferson County,  New York",36045,158676,154154,155019,160778,169138
"Lewis County,  New York",36049,121632,126504,127763,128323,134996
"Montgomery County,  New York",36057,105352,103844,107534,112523,118374
"Otsego County,  New York",36077,148074,147501,153315,156294,164421
"St. Lawrence County,  New York",36089,91473,98022,104765,108680,114331
"Schuyler County,  New York",36097,112508,119228,129147,142095,149484
"Seneca County,  New York",36099,100583,102284,107960,114338,120284
"Steuben County,  New York",36101,94226,101349,109237,113804,119722
"Sullivan County,  New York",36105,171831,184507,191538,184798,194408
"Wyoming County,  New York",36121,105767,112783,119458,123733,130167
"Yates County,  New York",36123,128787,133988,137132,145511,153078
"Albany County,  New York",36001,217486,234124,231455,245644,258357
"Rensselaer County,  New York",36083,189222,202151,193069,210941,221857
"Saratoga County,  New York",36091,251049,266716,275724,285679,300463
"Schenectady County,  New York",36093,173531,169559,179757,192021,201958
"Schoharie County,  New York",36095,154934,147797,148078,151359,159192
"Bronx County,  New York",36005,394282,419291,454308,479593,499272
"Kings County,  New York",36047,683172,735096,791106,815176,848623
"Nassau County,  New York",36059,490898,513142,539106,576663,600324
"New York County,  New York",36061,928301,1022410,1055711,1158975,1206529
"Putnam County,  New York",36079,368495,376765,369613,372560,387847
"Queens County,  New York",36081,521500,571695,601507,636959,663094
"Richmond County,  New York",36085,489722,525083,579214,602445,627164
"Rockland County,  New York",36087,460726,459932,473476,481546,501303
"Suffolk County,  New York",36103,408405,413321,426493,442204,460348
"Westchester County,  New York",36119,550710,573790,584214,574609,598185
"Erie County,  New York",36029,150739,162767,170171,175436,186218
"Niagara County,  New York",36063,124754,132613,140959,144695,153588
"Livingston County,  New York",36051,122094,142405,140899,149748,158614
"Monroe County,  New York",36055,149076,155456,158551,166197,176037
"Ontario County,  New York",36069,162931,174822,173591,175489,185879
"Orleans County,  New York",36073,98006,98515,99852,105101,111324
"Wayne County,  New York",36117,125949,131564,136408,132445,140286
"Warren County,  New York",36113,194749,197131,208454,222571,232995
"Washington County,  New York",36115,149596,147087,155806,162167,169762
"Herkimer County,  New York",36043,101379,102382,102504,106475,110919
"Oneida County,  New York",36065,120443,132519,142473,146617,152735
"Ulster County,  New York",36111,225675,246832,261177,257158,282989
"Tompkins County,  New York",36109,210789,203765,219811,216514,226168
"Wayne County,  North Carolina",37191,119070,125954,145064,121532,129547
"Brunswick County,  North Carolina",37019,221042,228603,232655,252301,270078
"New Hanover County,  North Carolina",37129,253818,258792,264749,282347,302241
"Pender County,  North Carolina",37141,179213,178359,191391,208017,222674
"Onslow County,  North Carolina",37133,154767,163439,166837,167405,183830
"Guilford County,  North Carolina",37081,170166,171945,177059,192345,204238
"Randolph County,  North Carolina",37151,128657,130344,133912,136924,145389
"Rockingham County,  North Carolina",37157,115421,124177,118628,119466,126853
"Alleghany County,  North Carolina",37005,156724,142851,135094,146703,155509
"Ashe County,  North Carolina",37009,161961,157871,163506,160765,170414
"Avery County,  North Carolina",37011,146567,145792,161469,151111,160181
"Beaufort County,  North Carolina",37013,123048,129826,137560,139358,147722
"Bertie County,  North Carolina",37015,83814,82874,86739,86259,91436
"Bladen County,  North Carolina",37017,90869,94008,96495,100006,106008
"Camden County,  North Carolina",37029,224288,233709,225478,219111,232262
"Carteret County,  North Carolina",37031,210485,214802,234270,237265,251506
"Caswell County,  North Carolina",37033,105194,109974,116974,118370,125475
"Cherokee County,  North Carolina",37039,152447,152830,163185,166956,176978
"Chowan County,  North Carolina",37041,145284,134763,133700,137574,145831
"Clay County,  North Carolina",37043,158113,162388,177873,189203,200560
"Cleveland County,  North Carolina",37045,118516,118167,134879,141142,149613
"Columbus County,  North Carolina",37047,89693,89492,93601,93290,98889
"Craven County,  North Carolina",37049,165291,167640,180447,160345,169970
"Dare County,  North Carolina",37055,302969,299357,308357,303271,321474
"Davidson County,  North Carolina",37057,141587,147052,162005,162339,172083
"Duplin County,  North Carolina",37061,93969,93273,93279,94654,100335
"Gates County,  North Carolina",37073,154264,149678,154393,154994,164297
"Graham County,  North Carolina",37075,129035,131087,127803,128339,136042
"Granville County,  North Carolina",37077,152447,153460,160183,163703,173529
"Halifax County,  North Carolina",37083,92580,90857,92314,90561,95997
"Harnett County,  North Carolina",37085,151595,158292,166616,172518,182873
"Hertford County,  North Carolina",37091,88732,91172,91564,92975,98555
"Hyde County,  North Carolina",37095,96856,85080,116116,148487,157400
"Jackson County,  North Carolina",37099,183771,186126,206179,205784,218135
"Jones County,  North Carolina",37103,100384,97370,95102,93395,99001
"Lee County,  North Carolina",37105,146353,145372,148281,151321,160403
"Lenoir County,  North Carolina",37107,98887,98210,102607,100216,106231
"McDowell County,  North Carolina",37111,105194,115961,122120,125086,132594
"Macon County,  North Carolina",37113,177035,170161,177766,173778,184208
"Martin County,  North Carolina",37117,91403,87286,94780,97068,102894
"Mitchell County,  North Carolina",37121,150843,147683,160933,165173,175086
"Montgomery County,  North Carolina",37123,97177,111234,116116,123512,130926
"Moore County,  North Carolina",37125,215857,245578,238344,243981,258625
"Northampton County,  North Carolina",37131,88197,86026,89098,87414,92660
"Pamlico County,  North Carolina",37137,161213,158187,165651,163703,173529
"Pasquotank County,  North Carolina",37139,169765,166905,170154,171154,181427
"Perquimans County,  North Carolina",37143,177249,173837,182162,180809,191661
"Polk County,  North Carolina",37149,203868,215852,227622,236845,251061
"Richmond County,  North Carolina",37153,84027,84030,85881,87308,92549
"Robeson County,  North Carolina",37155,82171,80983,84594,77235,81870
"Rutherford County,  North Carolina",37161,108192,130771,131984,134006,142049
"Sampson County,  North Carolina",37163,93648,92117,95209,93710,99334
"Scotland County,  North Carolina",37165,84562,89492,90599,89722,95107
"Stanly County,  North Carolina",37167,137052,139700,143778,145759,154508
"Surry County,  North Carolina",37171,131896,131612,131984,141771,150281
"Swain County,  North Carolina",37173,135449,128461,132092,145969,154730
"Transylvania County,  North Carolina",37175,205258,212281,226550,232858,246834
"Tyrrell County,  North Carolina",37177,105622,118797,117832,120469,127699
"Vance County,  North Carolina",37181,104660,100310,104751,106407,112794
"Warren County,  North Carolina",37185,103057,98630,101856,99271,105230
"Washington County,  North Carolina",37187,88410,90332,91135,89617,94996
"Watauga County,  North Carolina",37189,247699,252826,256678,249753,264743
"Wilkes County,  North Carolina",37193,132738,142221,116867,144920,153618
"Wilson County,  North Carolina",37195,122730,129511,130591,145024,153729
"Yancey County,  North Carolina",37199,150202,146842,160611,164858,174753
"Alexander County,  North Carolina",37003,133813,139300,142311,143607,151823
"Burke County,  North Carolina",37023,126300,132219,130106,149183,157719
"Caldwell County,  North Carolina",37027,111756,126617,133484,137926,145817
"Catawba County,  North Carolina",37035,134358,151349,168245,161597,170843
"Davie County,  North Carolina",37059,182508,180731,181680,181662,192280
"Forsyth County,  North Carolina",37067,159435,166379,171686,179137,189606
"Stokes County,  North Carolina",37169,126559,131721,135287,144193,152621
"Yadkin County,  North Carolina",37197,134105,135336,132341,140089,148276
"Anson County,  North Carolina",37007,95680,90298,94034,96456,103432
"Cabarrus County,  North Carolina",37025,194479,224397,231346,266312,285573
"Gaston County,  North Carolina",37071,145916,152546,161847,175778,188492
"Iredell County,  North Carolina",37097,193111,199584,210602,220304,236238
"Lincoln County,  North Carolina",37109,173617,181459,190278,213853,229320
"Mecklenburg County,  North Carolina",37119,232212,252555,266411,287147,307915
"Rowan County,  North Carolina",37159,138506,140248,144262,167846,179985
"Union County,  North Carolina",37179,247145,250613,284207,289368,310296
"Chatham County,  North Carolina",37037,242080,300520,332875,310998,326997
"Durham County,  North Carolina",37063,214401,246136,243142,260106,273487
"Orange County,  North Carolina",37135,305565,303012,341108,357502,375893
"Person County,  North Carolina",37145,135447,128376,122040,128642,135260
"Franklin County,  North Carolina",37069,158099,167833,139115,180476,191386
"Johnston County,  North Carolina",37101,167196,169107,179445,211096,223856
"Wake County,  North Carolina",37183,286413,292992,316255,331065,351078
"Currituck County,  North Carolina",37053,244720,250671,266164,269991,284663
"Cumberland County,  North Carolina",37051,130894,138519,141512,145871,152125
"Hoke County,  North Carolina",37093,141433,139737,141818,148646,155018
"Buncombe County,  North Carolina",37021,230643,258563,270212,287060,306952
"Haywood County,  North Carolina",37087,198649,189426,184484,187308,200288
"Henderson County,  North Carolina",37089,216850,227656,239430,262982,281206
"Madison County,  North Carolina",37115,196925,185441,189527,202735,216784
"Edgecombe County,  North Carolina",37065,85276,85294,93256,88474,94676
