Location ID,Location,Value
GA-149,Heard County,63.1
GA-151,Henry County,63.8
GA-153,Houston County,66.3
GA-155,Irwin County,67.1
GA-157,Jackson County,62.5
GA-159,Jasper County,64.6
GA-161,Jeff Davis County,67.3
GA-163,Jefferson County,65.2
GA-165,Jenkins County,66.4
GA-167,Johnson County,65.8
GA-169,Jones County,65.3
GA-171,Lamar County,64.3
GA-173,Lanier County,67.5
GA-175,Laurens County,66.6
GA-177,Lee County,67.3
GA-179,Liberty County,68.4
GA-181,Lincoln County,64.1
GA-183,Long County,68.3
GA-185,Lowndes County,67.6
GA-187,Lumpkin County,58.8
GA-189,McDuffie County,64.5
GA-191,McIntosh County,69
GA-193,Macon County,66
GA-195,Madison County,62.5
GA-197,Marion County,65.1
GA-199,Meriwether County,63.7
GA-201,Miller County,68
GA-205,Mitchell County,67.6
GA-207,Monroe County,64.8
GA-209,Montgomery County,67.1
GA-211,Morgan County,64.1
GA-213,Murray County,60.5
GA-215,Muscogee County,65.3
GA-217,Newton County,63.8
GA-219,Oconee County,63.4
GA-221,Oglethorpe County,63.3
GA-223,Paulding County,62.1
GA-225,Peach County,65.7
GA-227,Pickens County,59.5
GA-229,Pierce County,68.4
GA-231,Pike County,64.1
GA-233,Polk County,62.3
GA-235,Pulaski County,66.9
GA-237,Putnam County,64.9
GA-239,Quitman County,66.2
GA-241,Rabun County,57.9
GA-243,Randolph County,66.5
GA-245,Richmond County,66.1
GA-247,Rockdale County,63.4
GA-249,Schley County,65.7
GA-251,Screven County,66.6
GA-253,Seminole County,68.5
GA-255,Spalding County,64.2
GA-257,Stephens County,61.6
GA-259,Stewart County,65.7
GA-261,Sumter County,66.6
GA-263,Talbot County,64.3
GA-265,Taliaferro County,63.9
GA-267,Tattnall County,67.6
GA-269,Taylor County,65.1
GA-271,Telfair County,67.3
GA-273,Terrell County,66.9
GA-275,Thomas County,67.7
GA-277,Tift County,66.9
GA-279,Toombs County,67.3
GA-281,Towns County,57
GA-283,Treutlen County,66.7
GA-285,Troup County,63.5
GA-287,Turner County,66.9
GA-289,Twiggs County,66.1
GA-291,Union County,57
GA-293,Upson County,64.4
GA-295,Walker County,60.9
GA-297,Walton County,63.1
GA-299,Ware County,68.7
GA-301,Warren County,64.3
GA-303,Washington County,65.3
GA-305,Wayne County,68.3
GA-307,Webster County,65.8
GA-309,Wheeler County,67.2
GA-311,White County,59
GA-313,Whitfield County,61.3
GA-315,Wilcox County,67.2
GA-317,Wilkes County,63.7
GA-319,Wilkinson County,66
GA-321,Worth County,67
ID-001,Ada County,52.5
ID-003,Adams County,44.3
ID-005,Bannock County,46.1
ID-007,Bear Lake County,41.3
ID-009,Benewah County,46.4
ID-011,Bingham County,45.2
ID-013,Blaine County,43
ID-015,Boise County,44.4
ID-017,Bonner County,44.3
ID-019,Bonneville County,42.6
ID-021,Boundary County,42.3
ID-023,Butte County,42
ID-025,Camas County,42.5
ID-027,Canyon County,52.8
ID-029,Caribou County,42.5
ID-031,Cassia County,47
ID-033,Clark County,40.7
ID-035,Clearwater County,44.4
