state,county,2016,2017,2018,2019,2020,2021
  Arkansas,Bradley County,173.0,36362.69,181.42,81177.0,94125.0,95283.0
  Arkansas,Calhoun County,173.0,36521.06,181.42,72412.0,73371.0,74274.0
  Arkansas,Carroll County,173.0,61444.0,181.42,132304.0,143493.0,145259.0
  Arkansas,Chicot County,173.0,30343.08,181.42,65735.0,73057.0,73956.0
  Arkansas,Clark County,173.0,46131.09,181.42,105280.0,116975.0,118414.0
  Arkansas,Clay County,173.0,33827.75,181.42,75543.0,81128.0,82126.0
  Arkansas,Cleburne County,173.0,66882.75,181.42,138147.0,136156.0,137831.0
  Arkansas,Cleveland County,163.31,41610.03,167.02,84792.0,99698.0,100304.0
  Arkansas,Columbia County,173.0,41801.44,181.42,86394.0,85844.0,86901.0
  Arkansas,Conway County,173.0,48401.92,181.42,105802.0,112782.0,114170.0
  Arkansas,Craighead County,164.55,71574.03,174.65,156024.0,164465.0,168061.0
  Arkansas,Crawford County,167.1,57391.61,179.58,121576.0,120609.0,122440.0
  Arkansas,Crittenden County,153.72,60595.54,171.03,117639.0,122325.0,125308.0
  Arkansas,Cross County,173.0,43596.65,181.42,87229.0,90247.0,91357.0
  Arkansas,Dallas County,173.0,32824.9,181.42,69491.0,73791.0,74698.0
  Arkansas,Desha County,173.0,31399.06,181.42,65526.0,73686.0,74592.0
  Arkansas,Drew County,173.0,49510.52,181.42,101837.0,104606.0,105893.0
  Arkansas,Faulkner County,174.19,84381.41,181.2,165624.0,178396.0,180662.0
  Arkansas,Franklin County,167.1,49213.26,179.58,97968.0,105638.0,107241.0
  Arkansas,Fulton County,173.0,51147.36,181.42,97559.0,90561.0,91675.0
  Arkansas,Garland County,182.33,71977.1,199.78,155296.0,148330.0,151047.0
  Arkansas,Grant County,174.19,58351.49,181.2,131650.0,130754.0,132414.0
  Arkansas,Greene County,173.0,56955.97,181.42,118009.0,124522.0,126054.0
  Arkansas,Hempstead County,173.0,39530.62,181.42,82847.0,85006.0,86052.0
  Arkansas,Hot Spring County,173.0,44071.77,181.42,95889.0,101357.0,102604.0
  Arkansas,Howard County,173.0,44388.51,181.42,96515.0,100519.0,101755.0
  Arkansas,Independence County,173.0,50777.99,181.42,109766.0,103663.0,104939.0
  Arkansas,Izard County,173.0,41273.21,181.42,85038.0,86683.0,87749.0
  Arkansas,Jackson County,173.0,32085.67,181.42,69804.0,69808.0,70666.0
  Arkansas,Jefferson County,163.31,38474.61,167.02,85916.0,83783.0,84292.0
  Arkansas,Johnson County,173.0,47556.94,181.42,103193.0,108485.0,109819.0
  Arkansas,Lafayette County,173.0,32508.16,181.42,66048.0,67711.0,68544.0
  Arkansas,Lawrence County,173.0,34144.99,181.42,78986.0,80499.0,81489.0
  Arkansas,Lee County,173.0,31504.8,181.42,75856.0,77564.0,78518.0
  Arkansas,Lincoln County,163.31,29303.2,167.02,76007.0,78342.0,78817.0
  Arkansas,Little River County,173.0,39953.11,181.42,75334.0,81652.0,82656.0
  Arkansas,Logan County,173.0,44019.14,181.42,94115.0,103768.0,105045.0
  Arkansas,Lonoke County,174.19,74625.26,181.2,138900.0,161186.0,163233.0
  Arkansas,Madison County,173.86,58510.27,197.24,113258.0,127847.0,131053.0
  Arkansas,Marion County,173.0,54421.53,181.42,124165.0,126513.0,128070.0
  Arkansas,Miller County,171.65,52360.24,180.25,119367.0,114553.0,114694.0
  Arkansas,Mississippi County,173.0,42118.19,181.42,86290.0,88570.0,89659.0
  Arkansas,Monroe County,173.0,29128.73,181.42,67091.0,64357.0,65149.0
  Arkansas,Montgomery County,173.0,43490.9,181.42,111332.0,107751.0,109077.0
  Arkansas,Nevada County,173.0,35253.59,181.42,67300.0,69493.0,70348.0
  Arkansas,Newton County,173.0,43860.77,181.42,109662.0,120224.0,121703.0
  Arkansas,Ouachita County,173.0,35147.84,181.42,75334.0,78927.0,79898.0
  Arkansas,Perry County,174.19,45385.69,181.2,98815.0,111550.0,112967.0
  Arkansas,Phillips County,173.0,32402.41,181.42,71160.0,74105.0,75017.0
  Arkansas,Pike County,173.0,39530.62,181.42,85872.0,88989.0,90084.0
  Arkansas,Poinsett County,164.55,41121.0,174.65,78690.0,82128.0,83924.0
  Arkansas,Polk County,173.0,44600.01,181.42,94011.0,104082.0,105363.0
  Arkansas,Pope County,173.0,61919.61,181.42,130426.0,132488.0,134118.0
  Arkansas,Prairie County,173.0,35147.84,181.42,70952.0,70646.0,71515.0
  Arkansas,Pulaski County,174.19,80447.53,181.2,170596.0,165699.0,167803.0
  Arkansas,Randolph County,173.0,39002.88,181.42,85977.0,91400.0,92524.0
  Arkansas,St. Francis County,173.0,32190.91,181.42,66048.0,67711.0,68544.0
  Arkansas,Saline County,174.19,77300.22,181.2,163138.0,180390.0,182681.0
  Arkansas,Scott County,173.0,40639.72,181.42,75960.0,79975.0,80959.0
  Arkansas,Searcy County,173.0,45655.98,181.42,102254.0,108485.0,109819.0
  Arkansas,Sebastian County,167.1,60890.54,179.58,145600.0,146050.0,148267.0
  Arkansas,Sevier County,173.0,36098.57,181.42,82638.0,88360.0,89447.0
  Arkansas,Sharp County,173.0,39583.74,181.42,84516.0,84587.0,85627.0
  Arkansas,Stone County,173.0,49035.4,181.42,118844.0,126932.0,128494.0
  Arkansas,Union County,173.0,39478.0,181.42,86394.0,90666.0,91781.0
  Arkansas,Van Buren County,173.0,47556.94,181.42,106010.0,106598.0,107909.0
  Arkansas,Washington County,173.86,90115.09,197.24,179396.0,203557.0,208662.0
  Arkansas,White County,173.0,53973.98,181.42,128652.0,129867.0,131465.0
  Arkansas,Woodruff County,173.0,31768.42,181.42,69074.0,69598.0,70454.0
  Arkansas,Yell County,173.0,50197.13,181.42,115297.0,114669.0,116080.0
  California,Alameda County,395.73,379548.96,471.44,832582.0,803286.0,797812.0
  California,Alpine County,214.37,190561.54,244.92,369943.0,384563.0,398114.0
  California,Amador County,214.37,162155.94,244.92,314187.0,330242.0,341879.0
  California,Butte County,218.9,142591.69,252.98,306635.0,351140.0,358883.0
  California,Calaveras County,214.37,157507.64,244.92,315565.0,336348.0,348200.0
  California,Colusa County,214.37,126648.15,244.92,264790.0,279185.0,289023.0
  California,Contra Costa County,395.73,302028.44,471.44,662506.0,626164.0,621897.0
  California,Del Norte County,214.37,118707.69,244.92,216242.0,230338.0,238455.0
  California,El Dorado County,234.52,243425.72,278.45,506756.0,535315.0,551845.0
  California,Fresno County,201.26,124560.25,234.74,284187.0,306416.0,316546.0
  California,Glenn County,214.37,132071.17,244.92,235322.0,245497.0,254148.0
  California,Humboldt County,214.37,159432.52,244.92,345987.0,366351.0,379260.0
  California,Imperial County,183.91,97355.1,210.47,222567.0,244300.0,253618.0
  California,Inyo County,214.37,155118.88,244.92,278147.0,283290.0,293273.0
  California,Kern County,194.53,106167.15,212.11,238148.0,253038.0,261394.0
  California,Kings County,182.64,104932.82,206.74,242654.0,265198.0,273762.0
  California,Lake County,214.37,96024.83,244.92,260444.0,268657.0,278124.0
  California,Lassen County,214.37,111735.23,244.92,195254.0,213705.0,221235.0
  California,Los Angeles County,312.81,284290.53,365.48,646140.0,673205.0,688800.0
  California,Madera County,185.49,132033.28,217.5,288029.0,318391.0,324653.0
  California,Marin County,395.73,523846.25,471.44,1059218.0,982411.0,975716.0
  California,Mariposa County,214.37,152407.1,244.92,285673.0,290238.0,300466.0
