,County & State,FIPS,2017,2018,2019,2020,2021
2487,"Polk County,  Tennessee",47139,118555,116756,120149,120876,129140
2488,"Hawkins County,  Tennessee",47073,115782,120006,127886,128966,134464
2489,"Sullivan County,  Tennessee",47163,138077,148500,157215,163259,170220
2490,"Cannon County,  Tennessee",47015,164626,164545,163620,173947,185270
2491,"Cheatham County,  Tennessee",47021,210886,184815,185851,198041,210933
2492,"Davidson County,  Tennessee",47037,221296,271207,291946,306890,326868
2493,"Dickson County,  Tennessee",47043,185967,158583,164990,174052,185383
2494,"Hickman County,  Tennessee",47081,124331,113599,117263,122798,130792
2495,"Macon County,  Tennessee",47111,133477,121078,118527,121530,129442
2496,"Robertson County,  Tennessee",47147,194840,186767,230206,257961,274754
2497,"Rutherford County,  Tennessee",47149,198250,234786,246853,273707,291525
2498,"Smith County,  Tennessee",47159,151106,130834,139177,155241,165347
2499,"Sumner County,  Tennessee",47165,221884,258416,264131,290933,309872
2500,"Trousdale County,  Tennessee",47169,171519,138747,140336,164541,175253
2501,"Williamson County,  Tennessee",47187,446709,489301,486751,516345,549959
2502,"Wilson County,  Tennessee",47189,274445,282047,291524,338277,360298
2503,"Montgomery County,  Tennessee",47125,164146,182140,189607,186901,199235
2504,"Stewart County,  Tennessee",47161,131921,141712,131468,131772,140469
2505,"Cameron County,  Texas",48061,85933,92886,92346,92149,97395
2506,"Midland County,  Texas",48329,202942,220337,228517,261385,265612
2507,"Bell County,  Texas",48027,143505,158485,163741,171930,184549
2508,"Coryell County,  Texas",48099,122497,124031,125979,141171,151533
2509,"Lampasas County,  Texas",48281,148005,147287,152434,171400,183980
2510,"Calhoun County,  Texas",48057,115619,117580,120570,125437,131507
2511,"Goliad County,  Texas",48175,130803,133953,135143,143804,150762
2512,"Victoria County,  Texas",48469,136547,143572,151394,157057,164657
2513,"Webb County,  Texas",48479,121082,140892,140028,146912,149388
2514,"Smith County,  Texas",48423,156784,163713,176760,176006,185009
2515,"Gregg County,  Texas",48183,129305,141749,148934,153281,161676
2516,"Rusk County,  Texas",48401,106062,114553,125080,129883,136997
2517,"Upshur County,  Texas",48459,98008,114965,130674,146833,154875
2518,"Hardin County,  Texas",48199,114181,120104,124825,129524,133367
2519,"Jefferson County,  Texas",48245,108577,113839,130858,129003,132830
2520,"Orange County,  Texas",48361,115136,113732,124305,132447,136376
2521,"Grayson County,  Texas",48181,131038,151441,167903,176235,189238
2522,"Atascosa County,  Texas",48013,113801,101521,106300,102301,107790
2523,"Bandera County,  Texas",48019,181709,175259,177803,182031,191798
2524,"Bexar County,  Texas",48029,159356,169132,180031,194257,204680
2525,"Comal County,  Texas",48091,268359,298226,304365,322473,339776
2526,"Guadalupe County,  Texas",48187,195018,200719,222996,234174,246739
2527,"Kendall County,  Texas",48259,349737,314495,346694,364167,383707
2528,"Medina County,  Texas",48325,155590,141982,148310,143995,151721
2529,"Wilson County,  Texas",48493,198623,180224,192231,208573,219764
2530,"Ector County,  Texas",48135,124985,163767,156471,167555,164048
2531,"Crosby County,  Texas",48107,61778,59754,60543,63888,66960
2532,"Lubbock County,  Texas",48303,132912,143099,155652,161296,169053
2533,"Austin County,  Texas",48015,197253,185005,195355,203210,211714
2534,"Brazoria County,  Texas",48039,176987,206124,212626,234577,244393
2535,"Chambers County,  Texas",48071,189966,181098,192046,207455,216136
2536,"Fort Bend County,  Texas",48157,257886,278775,286362,295654,308026
2537,"Galveston County,  Texas",48167,188190,217951,209213,230023,239647
2538,"Harris County,  Texas",48201,168046,183737,193494,204349,212900
2539,"Liberty County,  Texas",48291,114292,104751,119654,146171,152287
2540,"Montgomery County,  Texas",48339,216844,248574,253372,273501,284945
2541,"San Jacinto County,  Texas",48407,110310,101267,112725,118117,123059
2542,"Waller County,  Texas",48473,181171,166419,180877,204349,212900
2543,"Armstrong County,  Texas",48011,119265,132471,144286,144325,152899
2544,"Carson County,  Texas",48065,104833,111045,116414,118085,125099
2545,"Potter County,  Texas",48375,96483,93946,96924,104447,110652
2546,"Randall County,  Texas",48381,163588,179136,180856,185030,196021
2547,"El Paso County,  Texas",48141,117291,125710,130379,131683,139960
2548,"Aransas County,  Texas",48007,170093,164552,165903,166051,175737
2549,"Nueces County,  Texas",48355,130112,143530,147783,162980,172487
2550,"San Patricio County,  Texas",48409,136819,125200,139823,133434,141217
2551,"Callahan County,  Texas",48059,84856,80722,90854,99589,103487
2552,"Jones County,  Texas",48253,79123,77134,76971,86472,89856
2553,"Taylor County,  Texas",48441,121340,128838,133014,154579,160628
2554,"Archer County,  Texas",48009,116658,130152,144213,153530,163229
2555,"Clay County,  Texas",48077,90722,90360,97438,106064,112764
2556,"Wichita County,  Texas",48485,105146,104349,107485,118875,126385
2557,"Anderson County,  Texas",48001,95534,97307,98138,106587,112538
2558,"Andrews County,  Texas",48003,128453,133558,143246,150519,158923
2559,"Angelina County,  Texas",48005,103309,118400,115463,103867,109667
2560,"Bailey County,  Texas",48017,67103,72079,72468,72906,76977
2561,"Baylor County,  Texas",48023,93691,71231,74475,64852,68472
2562,"Bee County,  Texas",48025,83908,83208,93173,94767,100058
2563,"Blanco County,  Texas",48031,201427,244645,248990,257734,272124
2564,"Borden County,  Texas",48033,96109,113312,119477,160351,169304
2565,"Bosque County,  Texas",48035,102210,113100,116836,127298,134405
2566,"Brewster County,  Texas",48043,129719,120202,141872,158364,167206
2567,"Briscoe County,  Texas",48045,69060,69641,69088,69036,72890
2568,"Brooks County,  Texas",48047,59968,65613,67609,70918,74878
2569,"Brown County,  Texas",48049,104051,100804,102997,107215,113201
2570,"Burnet County,  Texas",48053,182896,181364,192896,200832,212045
2571,"Camp County,  Texas",48063,89893,88614,92434,106273,112207
2572,"Cass County,  Texas",48067,93232,91371,91060,91107,96193
2573,"Castro County,  Texas",48069,81261,85116,86518,85667,90450
2574,"Cherokee County,  Texas",48073,97260,104090,106378,107633,113643
2575,"Childress County,  Texas",48075,84369,85859,84511,89433,94426
2576,"Cochran County,  Texas",48079,37177,35297,36023,40585,42850
2577,"Coke County,  Texas",48081,90929,86706,83560,72278,76314
2578,"Coleman County,  Texas",48083,69060,69853,73947,80019,84487
2579,"Collingsworth County,  Texas",48087,73895,59147,54721,54601,57650
2580,"Colorado County,  Texas",48089,126380,123700,122858,130122,137387
2581,"Comanche County,  Texas",48093,82987,94974,107117,109830,115962
2582,"Concho County,  Texas",48095,98987,116386,98772,106169,112097
2583,"Cooke County,  Texas",48097,141229,153380,153915,168510,177919
2584,"Cottle County,  Texas",48101,49378,47381,43840,48743,51465
2585,"Crane County,  Texas",48103,87361,86389,97082,105018,110882
2586,"Crockett County,  Texas",48105,90929,85435,84405,93721,98954
2587,"Culberson County,  Texas",48109,69865,60418,60108,65270,68914
2588,"Dallam County,  Texas",48111,83794,81618,87469,93303,98512
2589,"Dawson County,  Texas",48115,71477,70383,71095,76776,81063
2590,"Deaf Smith County,  Texas",48117,99792,93278,96976,95290,100610
2591,"DeWitt County,  Texas",48123,113028,105998,112188,122486,129325
2592,"Dickens County,  Texas",48125,57090,57451,57150,53450,56434
2593,"Dimmit County,  Texas",48127,66989,69111,77961,76149,80400
2594,"Donley County,  Texas",48129,68945,69005,73419,71860,75872
2595,"Duval County,  Texas",48131,60773,51409,52608,51672,54557
2596,"Eastland County,  Texas",48133,69176,63387,72362,77299,81615
2597,"Edwards County,  Texas",48137,81606,77167,79546,72383,76424
2598,"Erath County,  Texas",48143,140077,135996,154232,167255,176594
2599,"Falls County,  Texas",48145,74700,66779,69933,78763,83161
2600,"Fannin County,  Texas",48147,108885,104090,119583,128762,135951
2601,"Fayette County,  Texas",48149,158954,168220,174303,190476,201111
2602,"Fisher County,  Texas",48151,74700,64129,63489,69977,73884
2603,"Floyd County,  Texas",48153,75161,64129,67503,67258,71013
2604,"Foard County,  Texas",48155,64341,50243,47749,48534,51244
2605,"Franklin County,  Texas",48159,118784,138116,145042,132005,139375
2606,"Freestone County,  Texas",48161,93691,91265,104371,116943,123472
2607,"Frio County,  Texas",48163,78729,80453,79546,85981,90781
2608,"Gaines County,  Texas",48165,106583,117658,129724,157841,166654
2609,"Garza County,  Texas",48169,92771,82148,80708,82425,87026
2610,"Gillespie County,  Texas",48171,274285,286090,291668,300097,316852
2611,"Glasscock County,  Texas",48173,218922,205213,234200,239743,253128
2612,"Gonzales County,  Texas",48177,102670,98472,118526,126879,133964
2613,"Gray County,  Texas",48179,86096,76001,81975,81169,85701
2614,"Grimes County,  Texas",48185,121316,116704,131520,155331,164003
2615,"Hale County,  Texas",48189,84484,85010,84828,86504,91334
2616,"Hall County,  Texas",48191,42011,51621,50918,55228,58312
2617,"Hamilton County,  Texas",48193,111187,115008,134161,136816,144456
2618,"Hansford County,  Texas",48195,93577,99108,102892,99684,105249
2619,"Hardeman County,  Texas",48197,52485,40703,40248,45082,47599
2620,"Harrison County,  Texas",48203,117806,150200,146098,157214,165991
2621,"Hartley County,  Texas",48205,169544,155712,169022,174891,184656
2622,"Haskell County,  Texas",48207,55479,52151,54298,56379,59527
2623,"Hemphill County,  Texas",48211,142034,138540,142612,158678,167538
2624,"Henderson County,  Texas",48213,116840,122958,112294,125311,132307
2625,"Hill County,  Texas",48217,97835,99320,104265,108575,114637
2626,"Hockley County,  Texas",48219,93922,87236,93807,97905,103372
2627,"Hood County,  Texas",48221,176105,181045,191100,202400,213701
2628,"Hopkins County,  Texas",48223,106813,103030,105744,120185,126895
2629,"Houston County,  Texas",48225,88052,85010,89264,105332,111213
2630,"Howard County,  Texas",48227,84944,90841,98349,103553,109336
2631,"Hudspeth County,  Texas",48229,49033,46745,48594,53241,56214
2632,"Hutchinson County,  Texas",48233,84599,80028,81659,82425,87026
2633,"Jack County,  Texas",48237,88282,86283,87680,90270,95309
2634,"Jackson County,  Texas",48239,100828,102500,109125,119244,125901
2635,"Jasper County,  Texas",48241,99562,103242,110498,105541,111434
2636,"Jeff Davis County,  Texas",48243,107389,117976,119266,117047,123582
2637,"Jim Hogg County,  Texas",48247,78844,65507,70566,67990,71786
2638,"Jim Wells County,  Texas",48249,80685,78227,80602,79705,84155
2639,"Karnes County,  Texas",48255,100367,99744,103314,107006,112980
2640,"Kent County,  Texas",48263,83217,74729,41938,36610,38654
2641,"Kerr County,  Texas",48265,182090,173838,180219,188907,199454
2642,"Kimble County,  Texas",48267,98296,113630,174303,156586,165329
2643,"King County,  Texas",48269,84024,41127,40460,38388,40531
2644,"Kinney County,  Texas",48271,83103,68051,76905,71964,75982
2645,"Kleberg County,  Texas",48273,93002,92006,93173,96127,101494
2646,"Knox County,  Texas",48275,49378,47063,46270,47070,49698
2647,"Lamar County,  Texas",48277,98871,93385,100145,103658,109446
2648,"Lamb County,  Texas",48279,71363,66461,68348,68513,72338
2649,"La Salle County,  Texas",48283,80685,75047,86201,86085,90892
2650,"Lavaca County,  Texas",48285,137315,151896,164373,169870,179354
2651,"Lee County,  Texas",48287,133287,146596,132788,145080,153180
2652,"Leon County,  Texas",48289,118324,108436,116308,116106,122588
2653,"Limestone County,  Texas",48293,96109,89886,95075,99788,105360
2654,"Lipscomb County,  Texas",48295,107043,97942,91166,105541,111434
2655,"Live Oak County,  Texas",48297,100023,89993,100040,108888,114968
2656,"Llano County,  Texas",48299,184852,195568,196593,203760,215137
2657,"Lynn County,  Texas",48305,80455,81407,83771,87864,92770
2658,"McCulloch County,  Texas",48307,77693,86919,90427,98010,103482
2659,"McMullen County,  Texas",48311,79764,79181,112611,116001,122478
2660,"Madison County,  Texas",48313,118669,107800,119160,118302,124908
2661,"Marion County,  Texas",48315,98412,93914,98244,100939,106574
2662,"Martin County,  Texas",48317,114410,127728,140605,154808,163451
2663,"Mason County,  Texas",48319,178176,165782,172825,180748,190840
2664,"Matagorda County,  Texas",48321,107850,108331,113561,120080,126785
2665,"Maverick County,  Texas",48323,102094,100804,100145,102403,108120
2666,"Menard County,  Texas",48327,64687,64447,60214,62027,65491
2667,"Milam County,  Texas",48331,92771,93808,102575,112340,118612
2668,"Mills County,  Texas",48333,138236,117870,130358,146649,154837
2669,"Mitchell County,  Texas",48335,55824,69641,73947,72174,76204
2670,"Montague County,  Texas",48337,110496,113524,119055,120708,127447
2671,"Moore County,  Texas",48341,107043,112782,121590,127507,134626
2672,"Morris County,  Texas",48343,79764,87236,91166,94558,99837
2673,"Motley County,  Texas",48345,61118,60737,58946,59099,62398
2674,"Nacogdoches County,  Texas",48347,115014,150094,152542,135247,142799
2675,"Navarro County,  Texas",48349,93577,94232,100357,102089,107789
2676,"Newton County,  Texas",48351,86210,77697,78806,84935,89677
2677,"Nolan County,  Texas",48353,65837,70065,76060,78972,83382
2678,"Ochiltree County,  Texas",48357,96914,108542,104899,107424,113422
2679,"Oldham County,  Texas",48359,100253,92218,101096,95604,100942
2680,"Palo Pinto County,  Texas",48363,95303,93914,101307,111921,118171
2681,"Panola County,  Texas",48365,105663,103030,103843,106901,112870
2682,"Parmer County,  Texas",48369,99447,91371,97504,102089,107789
2683,"Pecos County,  Texas",48371,79189,72715,79334,91316,96414
2684,"Polk County,  Texas",48373,93807,89993,99617,115269,121705
2685,"Presidio County,  Texas",48377,68369,53741,61693,78554,82940
2686,"Rains County,  Texas",48379,113259,120838,127928,133783,141253
2687,"Reagan County,  Texas",48383,95418,93702,99406,103344,109115
2688,"Real County,  Texas",48385,126380,111404,108808,118407,125018
2689,"Red River County,  Texas",48387,79650,69111,70989,74371,78523
2690,"Reeves County,  Texas",48389,51335,56073,65707,67781,71565
2691,"Refugio County,  Texas",48391,85749,85646,87152,89537,94536
2692,"Roberts County,  Texas",48393,125805,143840,139548,139118,146885
2693,"Runnels County,  Texas",48399,80571,81088,81975,85144,89898
2694,"Sabine County,  Texas",48403,97260,97624,106906,121649,128441
2695,"San Augustine County,  Texas",48405,90929,86813,91589,92048,97187
2696,"San Saba County,  Texas",48411,83678,102818,103420,114432,120821
2697,"Schleicher County,  Texas",48413,91160,77273,73736,81379,85922
2698,"Scurry County,  Texas",48415,102555,95187,93067,89433,94426
2699,"Shackelford County,  Texas",48417,90929,83633,84828,95604,100942
2700,"Shelby County,  Texas",48419,86440,77485,76694,81692,86253
2701,"Sherman County,  Texas",48421,91736,92006,103948,104390,110219
2702,"Somervell County,  Texas",48425,160911,182530,202403,229074,241863
2703,"Starr County,  Texas",48427,74930,71231,72151,75207,79406
2704,"Stephens County,  Texas",48429,96569,77803,75426,77717,82057
2705,"Sterling County,  Texas",48431,99332,70065,68348,61714,65160
2706,"Stonewall County,  Texas",48433,57204,56921,61482,58158,61405
2707,"Sutton County,  Texas",48435,101519,101228,101096,96022,101384
2708,"Swisher County,  Texas",48437,77348,75047,77961,84307,89015
2709,"Terrell County,  Texas",48443,73895,70595,76165,79914,84376
2710,"Terry County,  Texas",48445,73895,72079,80391,80019,84487
2711,"Throckmorton County,  Texas",48447,74125,72715,71834,58890,62178
2712,"Titus County,  Texas",48449,112223,102076,103103,109934,116072
2713,"Trinity County,  Texas",48455,93232,79817,84194,87550,92438
2714,"Tyler County,  Texas",48457,93922,86389,90215,92152,97298
2715,"Upton County,  Texas",48461,66298,66673,69404,69977,73884
2716,"Uvalde County,  Texas",48463,88628,82467,85250,93094,98291
2717,"Val Verde County,  Texas",48465,106353,100168,101307,108156,114195
2718,"Van Zandt County,  Texas",48467,119015,119354,128773,138385,146112
2719,"Walker County,  Texas",48471,107926,165782,178952,164536,173722
2720,"Ward County,  Texas",48475,83103,90735,90955,90793,95862
2721,"Washington County,  Texas",48477,175874,173202,180536,187338,197798
2722,"Wharton County,  Texas",48481,117748,122640,129830,133992,141474
2723,"Wheeler County,  Texas",48483,96685,91688,90638,87864,92770
2724,"Wilbarger County,  Texas",48487,79650,74092,77327,71441,75430
2725,"Willacy County,  Texas",48489,57204,52045,60003,57844,61073
2726,"Winkler County,  Texas",48495,52025,61691,68031,65584,69245
2727,"Wood County,  Texas",48499,127877,124018,137541,143825,151855
2728,"Yoakum County,  Texas",48501,85865,86813,105638,121754,128552
2729,"Young County,  Texas",48503,94382,92748,94018,101252,106906
2730,"Zapata County,  Texas",48505,63535,64341,73419,81379,85922
2731,"Zavala County,  Texas",48507,48227,42293,51235,52300,55220
2732,"Irion County,  Texas",48235,118452,152085,151341,120613,127790
2733,"Tom Green County,  Texas",48451,126663,145852,170603,153443,162574
2734,"Collin County,  Texas",48085,312168,347009,354520,366351,390471
2735,"Dallas County,  Texas",48113,173851,187717,204323,223784,238517
2736,"Delta County,  Texas",48119,101801,78412,81604,90734,96708
2737,"Denton County,  Texas",48121,267811,300991,317674,325175,346583
2738,"Ellis County,  Texas",48139,199248,204236,217542,238165,253845
2739,"Hunt County,  Texas",48231,134024,147277,149989,137912,146991
2740,"Johnson County,  Texas",48251,161330,165405,170495,178054,189777
2741,"Kaufman County,  Texas",48257,173612,195547,197869,222439,237083
2742,"Parker County,  Texas",48367,198771,231804,251162,258443,275458
2743,"Rockwall County,  Texas",48397,278065,285759,296336,309449,329822
2744,"Tarrant County,  Texas",48439,182674,199731,218583,235578,251088
2745,"Wise County,  Texas",48497,175523,172485,182881,251925,268511
2746,"Hidalgo County,  Texas",48215,86466,90603,90755,96313,100981
2747,"Bastrop County,  Texas",48021,180312,191769,183934,198111,222454
2748,"Caldwell County,  Texas",48055,157847,131768,136986,153650,172530
2749,"Hays County,  Texas",48209,234325,248483,264647,284911,319919
2750,"Travis County,  Texas",48453,318448,340711,380731,384444,431682
2751,"Williamson County,  Texas",48491,260872,288873,303341,318549,357690
2752,"Brazos County,  Texas",48041,203376,198557,236998,241846,251072
2753,"Burleson County,  Texas",48051,118590,103654,112311,127128,131978
2754,"Robertson County,  Texas",48395,117953,97820,106378,113258,117578
2755,"McLennan County,  Texas",48309,138910,153093,172706,175379,186593
2756,"Bowie County,  Texas",48037,108634,134733,130576,137125,140279
2757,"Washington County,  Utah",49053,256858,304429,335190,345269,391253
2758,"Beaver County,  Utah",49001,179170,157410,173619,187479,204269
2759,"Box Elder County,  Utah",49003,200074,191927,203897,214925,234173
2760,"Carbon County,  Utah",49007,147995,138816,146132,148632,161943
2761,"Daggett County,  Utah",49009,208674,216827,226874,180301,196448
2762,"Duchesne County,  Utah",49013,206165,190325,196918,196135,213700
2763,"Emery County,  Utah",49015,158506,145548,149782,147999,161253
2764,"Garfield County,  Utah",49017,187054,177715,193160,199408,217266
2765,"Grand County,  Utah",49019,268517,246749,255542,261584,285011
2766,"Iron County,  Utah",49021,198163,195668,216245,225482,245675
2767,"Kane County,  Utah",49025,209390,203255,204004,216297,235669
2768,"Millard County,  Utah",49027,165316,160616,156332,163622,178275
2769,"Piute County,  Utah",49031,168181,153670,166532,189485,206454
2770,"Rich County,  Utah",49033,207241,171409,206367,213764,232908
2771,"San Juan County,  Utah",49037,166509,145976,143018,136914,149176
2772,"Sanpete County,  Utah",49039,196371,181027,186825,199513,217381
2773,"Sevier County,  Utah",49041,178454,163288,168250,173967,189547
2774,"Uintah County,  Utah",49047,226232,208171,206045,207958,226582
2775,"Wasatch County,  Utah",49051,378409,381825,417565,443257,482954
2776,"Wayne County,  Utah",49055,237222,187867,189617,217142,236589
2777,"Cache County,  Utah",49005,230304,233835,277583,300082,332136
2778,"Juab County,  Utah",49023,214354,191596,217169,238032,264469
2779,"Utah County,  Utah",49049,290494,324668,355785,386722,429673
2780,"Davis County,  Utah",49011,280804,310730,340631,367345,408810
2781,"Morgan County,  Utah",49029,335654,341715,385720,403284,448805
2782,"Weber County,  Utah",49057,198255,242826,263552,292026,324989
2783,"Salt Lake County,  Utah",49035,296672,330207,360046,389465,429361
2784,"Summit County,  Utah",49043,643123,611053,640806,687941,758412
2785,"Tooele County,  Utah",49045,229807,245165,255188,288080,317590
2786,"Chittenden County,  Vermont",50007,294141,306451,314168,338049,357451
2787,"Franklin County,  Vermont",50011,219234,218104,222588,226063,239038
2788,"Grand Isle County,  Vermont",50013,282197,286529,282459,287337,303828
2789,"Addison County,  Vermont",50001,243260,245383,255079,264190,281964
2790,"Bennington County,  Vermont",50003,216607,215979,220492,219647,234424
2791,"Caledonia County,  Vermont",50005,166478,170319,177364,179336,191401
2792,"Essex County,  Vermont",50009,125884,133459,138875,144527,154250
2793,"Lamoille County,  Vermont",50015,226243,233166,240422,238692,254750
2794,"Orange County,  Vermont",50017,194156,194961,202144,203882,217599
2795,"Orleans County,  Vermont",50019,157970,166799,171037,171401,182932
2796,"Rutland County,  Vermont",50021,182983,183882,186222,187694,200322
2797,"Washington County,  Vermont",50023,216504,224883,234728,240067,256218
2798,"Windham County,  Vermont",50025,214454,219499,224077,226630,241877
2799,"Windsor County,  Vermont",50027,221732,223951,228612,237528,253508
2800,"Giles County,  Virginia",51071,111362,118490,128559,127661,134840
2801,"Montgomery County,  Virginia",51121,220494,246605,229069,256875,271322
2802,"Pulaski County,  Virginia",51155,144335,144465,153846,154912,163625
2803,"Radford city,  Virginia",51750,158057,166197,174883,176984,186937
2804,"Frederick County,  Virginia",51069,260221,250337,282919,276609,288173
2805,"Winchester city,  Virginia",51840,243625,232838,252527,256499,267223
2806,"Accomack County,  Virginia",51001,159910,160279,170686,181813,189443
2807,"Alleghany County,  Virginia",51005,116830,115825,120515,126676,131992
2808,"Augusta County,  Virginia",51015,205015,215846,232961,220229,229471
2809,"Bath County,  Virginia",51017,160328,154060,156721,174934,182275
2810,"Bland County,  Virginia",51021,104625,111441,105929,119798,124825
2811,"Brunswick County,  Virginia",51025,109736,113072,114619,118739,123722
2812,"Buchanan County,  Virginia",51027,74583,73308,73240,76514,79724
2813,"Buckingham County,  Virginia",51029,137483,135095,131687,137894,143681
2814,"Carroll County,  Virginia",51035,112553,109401,112963,119480,124494
2815,"Charlotte County,  Virginia",51037,98366,109605,111101,118422,123391
2816,"Culpeper County,  Virginia",51047,262450,271618,295132,316321,329595
2817,"Dickenson County,  Virginia",51051,77295,79018,78309,85721,89318
2818,"Essex County,  Virginia",51057,171489,180671,194583,214620,223626
2819,"Floyd County,  Virginia",51063,161997,156812,175859,180649,188230
2820,"Grayson County,  Virginia",51077,95445,97574,98377,108897,113467
2821,"Greensville County,  Virginia",51081,104103,91150,99722,124560,129787
2822,"Halifax County,  Virginia",51083,109215,112970,116584,122866,128022
2823,"Henry County,  Virginia",51089,99514,96147,97446,99372,103543
2824,"Highland County,  Virginia",51091,176393,187604,186307,184035,191759
2825,"King George County,  Virginia",51099,294683,300065,311994,325845,339520
2826,"Lancaster County,  Virginia",51103,238980,231344,245892,272190,283613
2827,"Lee County,  Virginia",51105,81781,83300,91033,93235,97147
2828,"Lunenburg County,  Virginia",51111,111197,110523,119998,126465,131772
2829,"Madison County,  Virginia",51113,251601,261524,261719,272931,284385
2830,"Mecklenburg County,  Virginia",51117,130807,127754,137791,140328,146217
2831,"Middlesex County,  Virginia",51119,256400,253265,272995,277164,288796
2832,"Northampton County,  Virginia",51131,167838,169048,169652,187105,194956
2833,"Northumberland County,  Virginia",51133,252436,283343,295753,309653,322648
2834,"Nottoway County,  Virginia",51135,138631,137440,144721,160224,166948
2835,"Orange County,  Virginia",51137,241170,239807,241858,258644,269499
2836,"Page County,  Virginia",51139,183590,175573,174514,179062,186576
2837,"Patrick County,  Virginia",51141,115891,118272,120412,126994,132323
2838,"Prince Edward County,  Virginia",51147,158033,157832,166962,169008,176100
2839,"Rappahannock County,  Virginia",51157,382826,365624,372200,399714,416488
2840,"Richmond County,  Virginia",51159,156468,166396,188169,190808,198815
2841,"Rockbridge County,  Virginia",51163,196629,201063,220341,211233,220098
2842,"Russell County,  Virginia",51167,100140,96758,100240,103711,108064
2843,"Shenandoah County,  Virginia",51171,207478,207996,215065,225626,235094
2844,"Smyth County,  Virginia",51173,92733,91355,98274,101384,105638
2845,"Southampton County,  Virginia",51175,166587,176184,175342,188903,196831
2846,"Tazewell County,  Virginia",51185,95341,98390,98584,105511,109938
2847,"Westmoreland County,  Virginia",51193,199862,207078,218168,210704,219546
2848,"Wise County,  Virginia",51195,91273,86155,88550,90483,94280
2849,"Wythe County,  Virginia",51197,129243,129895,135308,135883,141586
2850,"Buena Vista city,  Virginia",51530,119959,113888,126308,133978,139601
2851,"Covington city,  Virginia",51580,71558,73614,76757,77149,80386
2852,"Emporia city,  Virginia",51595,119959,117966,128067,123607,128794
2853,"Franklin city,  Virginia",51620,186406,189745,174100,173664,180952
2854,"Galax city,  Virginia",51640,94924,107566,104584,102230,106520
2855,"Lexington city,  Virginia",51678,253166,257446,210617,249437,259905
2856,"Martinsville city,  Virginia",51690,92942,91864,89791,92811,96706
2857,"Norton city,  Virginia",51720,95550,94311,94860,99267,103433
2858,"Staunton city,  Virginia",51790,172533,165683,170480,178850,186355
2859,"Waynesboro city,  Virginia",51820,162936,164765,173376,184247,191979
2860,"Amherst County,  Virginia",51009,158253,158108,160604,162252,169793
2861,"Appomattox County,  Virginia",51011,156250,158316,162699,165589,173285
2862,"Bedford County,  Virginia",51019,204569,207575,215186,220959,231228
2863,"Campbell County,  Virginia",51031,159730,161030,162385,163711,171321
2864,"Lynchburg city,  Virginia",51680,160872,167396,183861,177789,186052
2865,"Botetourt County,  Virginia",51023,222704,224896,237043,241566,253867
2866,"Craig County,  Virginia",51045,163424,168467,180414,175896,184854
2867,"Franklin County,  Virginia",51067,179873,180836,187361,188946,198567
2868,"Roanoke County,  Virginia",51161,200814,201077,206729,228623,240265
2869,"Roanoke city,  Virginia",51770,140843,139333,138310,156270,164227
2870,"Salem city,  Virginia",51775,184893,177872,186098,192977,202804
2871,"Arlington County,  Virginia",51013,700919,767632,737803,787729,829810
2872,"Clarke County,  Virginia",51043,383727,347841,350221,360342,379592
2873,"Fairfax County,  Virginia",51059,583100,592093,593790,608388,640889
2874,"Fauquier County,  Virginia",51061,399148,407364,436629,447833,471757
2875,"Loudoun County,  Virginia",51107,511188,531317,556744,577668,608528
2876,"Prince William County,  Virginia",51153,395510,395564,412001,421160,443659
2877,"Spotsylvania County,  Virginia",51177,288500,298552,308270,303260,319461
2878,"Stafford County,  Virginia",51179,341150,361730,364101,380372,400693
2879,"Warren County,  Virginia",51187,248636,241223,250456,254066,267639
2880,"Alexandria city,  Virginia",51510,579676,598567,586277,594170,625911
2881,"Fairfax city,  Virginia",51600,547698,524112,556535,581611,612682
2882,"Falls Church city,  Virginia",51610,837212,774838,790294,819176,862938
2883,"Fredericksburg city,  Virginia",51630,370217,356300,361596,381099,401458
2884,"Manassas city,  Virginia",51683,322237,320586,326741,336886,354883
2885,"Manassas Park city,  Virginia",51685,289163,274952,293764,319658,336735
2886,"Albemarle County,  Virginia",51003,344730,359774,413383,415769,434595
2887,"Fluvanna County,  Virginia",51065,238888,244094,244992,240347,251231
2888,"Greene County,  Virginia",51079,267919,259504,253172,242088,253050
2889,"Nelson County,  Virginia",51125,234900,247625,259015,240655,251551
2890,"Charlottesville city,  Virginia",51540,316118,297279,301512,306809,320701
2891,"Rockingham County,  Virginia",51165,199673,231722,222551,230296,240063
2892,"Harrisonburg city,  Virginia",51660,213251,205069,210199,210734,219671
2893,"Amelia County,  Virginia",51007,196107,196254,213864,210967,223232
2894,"Caroline County,  Virginia",51033,214478,204842,204134,215785,228330
2895,"Charles City County,  Virginia",51036,183248,172822,176721,175876,186101
2896,"Chesterfield County,  Virginia",51041,240398,254992,258228,273503,289403
2897,"Cumberland County,  Virginia",51049,158217,155434,153074,152936,161826
2898,"Dinwiddie County,  Virginia",51053,178311,169747,169815,176295,186544
2899,"Goochland County,  Virginia",51075,365578,347448,359928,393023,415872
2900,"Hanover County,  Virginia",51085,292913,309172,308345,314355,332631
2901,"Henrico County,  Virginia",51087,249749,253402,265866,269523,285192
2902,"King and Queen County,  Virginia",51097,178885,180244,169292,191903,203059
2903,"King William County,  Virginia",51101,227912,211734,215643,214005,226446
