,County & State,FIPS,2017,2018,2019,2020,2021
141,"Lafayette County,  Arkansas",05073,64548,68032,66048,66976,69858
142,"Lawrence County,  Arkansas",05075,67806,79594,78986,79625,83051
143,"Lee County,  Arkansas",05077,62550,69271,75856,76721,80023
144,"Lincoln County,  Arkansas",05079,59475,67069,76007,78487,81000
145,"Little River County,  Arkansas",05081,79370,74742,75334,80765,84241
146,"Logan County,  Arkansas",05083,87465,93325,94115,102641,107059
147,"Lonoke County,  Arkansas",05085,146960,145283,138900,159749,166162
148,"Madison County,  Arkansas",05087,116388,114051,113258,126309,135733
149,"Marion County,  Arkansas",05089,108175,121095,124165,125139,130525
150,"Miller County,  Arkansas",05091,104142,110746,119367,113853,116472
151,"Mississippi County,  Arkansas",05093,83681,84033,86290,87608,91378
152,"Monroe County,  Arkansas",05095,57820,56263,67091,63658,66398
153,"Montgomery County,  Arkansas",05097,86413,100035,111332,106581,111168
154,"Nevada County,  Arkansas",05099,70013,64729,67300,68738,71697
155,"Newton County,  Arkansas",05101,87150,94563,109662,118918,124036
156,"Ouachita County,  Arkansas",05103,69803,70096,75334,78069,81429
157,"Perry County,  Arkansas",05105,89311,100471,98815,110556,114994
158,"Phillips County,  Arkansas",05107,64337,69271,71160,73300,76455
159,"Pike County,  Arkansas",05109,78529,81143,85872,88022,91811
160,"Poinsett County,  Arkansas",05111,81659,80204,78690,81725,85709
161,"Polk County,  Arkansas",05113,88621,89918,94011,102952,107383
162,"Pope County,  Arkansas",05115,123103,130180,130426,131049,136689
163,"Prairie County,  Arkansas",05117,69803,67413,70952,69879,72886
164,"Pulaski County,  Arkansas",05119,158439,158463,170596,164222,170814
165,"Randolph County,  Arkansas",05121,77478,84137,85977,90407,94298
166,"St. Francis County,  Arkansas",05123,63916,63902,66048,66976,69858
167,"Saline County,  Arkansas",05125,152233,156233,163138,178782,185959
168,"Scott County,  Arkansas",05127,80737,72058,75960,79106,82511
169,"Searcy County,  Arkansas",05129,90724,92602,102254,107307,111925
170,"Sebastian County,  Arkansas",05131,123813,129603,145600,143935,152088
171,"Sevier County,  Arkansas",05133,71696,77839,82638,87400,91162
172,"Sharp County,  Arkansas",05135,78635,82485,84516,83668,87269
173,"Stone County,  Arkansas",05137,97452,110772,118844,125554,130957
174,"Union County,  Arkansas",05139,78424,82485,86394,89681,93541
175,"Van Buren County,  Arkansas",05141,94508,102100,106010,105440,109978
176,"Washington County,  Arkansas",05143,179355,181010,179396,201109,216113
177,"White County,  Arkansas",05145,107284,122231,128652,128457,133985
178,"Woodruff County,  Arkansas",05147,63075,65761,69074,68842,71805
179,"Yell County,  Arkansas",05149,99765,103545,115297,113424,118305
180,"Alameda County,  California",06001,751745,865993,832582,822332,826254
181,"Alpine County,  California",06003,376397,364143,369943,379519,408597
182,"Amador County,  California",06005,320257,295085,314187,325910,350881
183,"Butte County,  California",06007,279990,287382,306635,348008,368324
184,"Calaveras County,  California",06009,311070,289578,315565,331936,357369
185,"Colusa County,  California",06011,250080,236830,264790,275523,296633
186,"Contra Costa County,  California",06013,598122,712199,662506,641011,644067
187,"Del Norte County,  California",06015,234387,196900,216242,227316,244733
188,"El Dorado County,  California",06017,478533,507964,506756,528548,571418
189,"Fresno County,  California",06019,245420,266351,284187,303149,325512
190,"Glenn County,  California",06021,260798,227298,235322,242277,260840
191,"Humboldt County,  California",06023,314874,344442,345987,361545,389246
192,"Imperial County,  California",06025,191125,213210,222567,241869,259957
193,"Inyo County,  California",06027,306349,257484,278147,279574,300995
194,"Kern County,  California",06029,209625,215944,238148,249876,268730
195,"Kings County,  California",06031,206040,235653,242654,261225,280401
196,"Lake County,  California",06033,189557,222956,260444,265133,285447
197,"Lassen County,  California",06035,220607,188003,195254,210902,227060
198,"Los Angeles County,  California",06037,562601,635118,646140,668102,708960
199,"Madera County,  California",06039,262810,261591,288029,312052,334406
200,"Marin County,  California",06041,1037699,1124350,1059218,1005705,1010500
201,"Mariposa County,  California",06043,300990,274855,285673,286431,308377
202,"Mendocino County,  California",06045,389635,434155,404818,447776,482084
203,"Merced County,  California",06047,240701,276393,274217,295344,320503
204,"Modoc County,  California",06049,195343,151567,141299,146072,157264
205,"Mono County,  California",06051,399363,330144,345987,324664,349539
206,"Monterey County,  California",06053,498889,555032,591631,625363,671034
207,"Napa County,  California",06055,641587,662634,678449,687803,727885
208,"Nevada County,  California",06057,433631,463070,483364,503878,542485
209,"Orange County,  California",06059,707551,732970,733573,752121,798116
210,"Placer County,  California",06061,471932,503983,508631,562977,608640
211,"Plumas County,  California",06063,277130,242444,248996,251731,271019
212,"Riverside County,  California",06065,350939,380111,379304,405570,440583
213,"Sacramento County,  California",06067,348909,380247,392408,410835,444158
214,"San Benito County,  California",06069,525247,511987,486880,545635,563455
215,"San Bernardino County,  California",06071,315699,351983,367350,390271,423964
216,"San Diego County,  California",06073,548269,602190,626184,648324,695789
217,"San Francisco County,  California",06075,1077650,1224255,1182325,1135007,1140419
218,"San Joaquin County,  California",06077,323411,380271,378663,404217,443866
219,"San Luis Obispo County,  California",06079,566104,609950,611028,655484,691171
220,"San Mateo County,  California",06081,1050406,1205405,1195477,1150016,1155499
221,"Santa Barbara County,  California",06083,598026,597472,641317,607995,650473
222,"Santa Clara County,  California",06085,939597,1081779,1089740,1123226,1159910
223,"Santa Cruz County,  California",06087,765666,826807,834259,844541,896764
224,"Shasta County,  California",06089,257587,262223,278911,293240,316971
225,"Sierra County,  California",06091,217417,166395,183594,240407,258826
226,"Siskiyou County,  California",06093,222903,187049,197480,206642,222475
227,"Solano County,  California",06095,401355,446757,456998,478421,512940
228,"Sonoma County,  California",06097,591526,685881,668245,673182,704805
229,"Stanislaus County,  California",06099,280910,314166,332315,358331,387237
230,"Sutter County,  California",06101,271238,299925,341166,329166,355339
231,"Tehama County,  California",06103,218820,202725,215606,252978,272361
232,"Trinity County,  California",06105,335695,303453,301679,298898,321800
233,"Tulare County,  California",06107,194265,218566,232511,257986,277316
234,"Tuolumne County,  California",06109,330847,289684,295637,300457,323477
235,"Ventura County,  California",06111,585991,620351,633880,653089,690025
236,"Yolo County,  California",06113,424089,463096,480929,494118,534196
237,"Yuba County,  California",06115,243668,272660,296798,304203,328391
238,"Adams County,  Colorado",08001,289242,336423,358366,374414,402197
239,"Alamosa County,  Colorado",08003,171668,165908,167802,164312,175298
240,"Arapahoe County,  Colorado",08005,350027,399585,409502,428483,460278
241,"Archuleta County,  Colorado",08007,314307,297311,314829,327999,349928
242,"Baca County,  Colorado",08009,87082,86589,87577,87111,92936
243,"Bent County,  Colorado",08011,78161,84310,85872,84503,90153
244,"Boulder County,  Colorado",08013,506202,545063,570674,606350,640994
245,"Broomfield County,  Colorado",08014,412618,454455,463977,502071,539327
246,"Chaffee County,  Colorado",08015,326204,339846,357872,373276,398233
247,"Cheyenne County,  Colorado",08017,97909,97656,110803,112671,120204
248,"Clear Creek County,  Colorado",08019,410333,345805,372559,394872,424173
249,"Conejos County,  Colorado",08021,127413,122722,125292,125712,134117
250,"Costilla County,  Colorado",08023,121701,123915,120605,117888,125769
251,"Crowley County,  Colorado",08025,90532,86480,76390,82834,88372
252,"Custer County,  Colorado",08027,262200,269425,279351,294093,313756
253,"Delta County,  Colorado",08029,229604,223743,233325,251945,268791
254,"Denver County,  Colorado",08031,381202,431002,454062,467103,501765
255,"Dolores County,  Colorado",08033,141688,132379,123481,121643,129776
256,"Douglas County,  Colorado",08035,480024,511508,530870,546120,586644
257,"Eagle County,  Colorado",08037,498942,511180,573831,586621,625842
258,"Elbert County,  Colorado",08039,487658,414530,444044,483909,519817
259,"El Paso County,  Colorado",08041,268192,300747,311424,347274,377896
260,"Fremont County,  Colorado",08043,188561,173612,173982,181526,193663
261,"Garfield County,  Colorado",08045,342027,351348,360003,376197,401349
262,"Gilpin County,  Colorado",08047,365382,329115,352105,368881,396254
263,"Grand County,  Colorado",08049,335483,309247,315149,321531,343028
264,"Gunnison County,  Colorado",08051,379738,340605,361601,383187,408806
265,"Hinsdale County,  Colorado",08053,328345,353084,352758,365138,389551
266,"Huerfano County,  Colorado",08055,175594,149089,167483,168590,179861
267,"Jackson County,  Colorado",08057,187966,185873,208181,205208,218928
268,"Jefferson County,  Colorado",08059,397452,445183,459385,481404,517126
269,"Kiowa County,  Colorado",08061,99455,90278,85339,90241,96274
270,"Kit Carson County,  Colorado",08063,145495,141276,150010,127694,136231
271,"Lake County,  Colorado",08065,200457,214411,227998,242139,258328
272,"La Plata County,  Colorado",08067,395799,387047,399955,412711,440305
273,"Larimer County,  Colorado",08069,360359,386590,413805,433144,458089
274,"Las Animas County,  Colorado",08071,179162,158312,156722,157635,168175
275,"Lincoln County,  Colorado",08073,140736,143338,144576,153462,163723
276,"Logan County,  Colorado",08075,148350,161350,164606,164730,175743
277,"Mesa County,  Colorado",08077,218362,246974,244512,278953,303357
278,"Mineral County,  Colorado",08079,329654,302736,312805,321948,343473
279,"Moffat County,  Colorado",08081,209141,183595,181866,190185,202901
280,"Montezuma County,  Colorado",08083,214614,214736,221925,232437,247977
281,"Montrose County,  Colorado",08085,227106,219728,226826,234106,249758
282,"Morgan County,  Colorado",08087,173094,176758,195929,209902,223936
283,"Otero County,  Colorado",08089,109329,99609,97911,99004,105624
284,"Ouray County,  Colorado",08091,462300,456383,447366,468420,499739
285,"Park County,  Colorado",08093,353819,286134,297212,341534,366877
286,"Phillips County,  Colorado",08095,157629,143881,165671,165356,176411
287,"Pitkin County,  Colorado",08097,738421,644102,664178,642540,685499
288,"Prowers County,  Colorado",08099,103976,102431,100255,110689,118089
289,"Pueblo County,  Colorado",08101,167602,180436,185826,204957,224864
290,"Rio Blanco County,  Colorado",08103,243642,218100,216385,205625,219373
291,"Rio Grande County,  Colorado",08105,159057,155166,171851,179439,191437
292,"Routt County,  Colorado",08107,469439,499787,543999,558453,595791
293,"Saguache County,  Colorado",08109,174522,162870,159279,159305,169956
294,"San Juan County,  Colorado",08111,265531,292319,305453,336345,358832
295,"San Miguel County,  Colorado",08113,610057,526262,523224,500031,533463
296,"Sedgwick County,  Colorado",08115,103262,99284,93010,101300,108073
297,"Summit County,  Colorado",08117,569608,594297,599827,604670,645097
298,"Teller County,  Colorado",08119,298780,288695,300236,312760,340339
299,"Washington County,  Colorado",08121,134669,130534,147773,157844,168397
300,"Weld County,  Colorado",08123,289821,323476,338087,382411,404631
301,"Yuma County,  Colorado",08125,162269,161459,182825,200096,213474
302,"Fairfield County,  Connecticut",09001,424933,432893,445210,465803,497400
303,"Hartford County,  Connecticut",09003,239986,243389,252503,254597,268312
304,"Litchfield County,  Connecticut",09005,248337,264066,265139,275001,293879
305,"Middlesex County,  Connecticut",09007,284462,283988,296484,304302,320696
306,"New Haven County,  Connecticut",09009,246647,248989,262445,264540,282839
307,"New London County,  Connecticut",09011,249564,243392,247745,268948,290253
308,"Tolland County,  Connecticut",09013,248439,246015,274441,275107,289928
309,"Windham County,  Connecticut",09015,198030,201164,214617,229203,244937
310,"Kent County,  Delaware",10001,229269,229588,248889,238098,252152
311,"New Castle County,  Delaware",10003,272647,272047,286459,285625,300920
312,"District of Columbia,  District of Columbia",11001,589949,634072,644821,670970,706815
313,"Alachua County,  Florida",12001,192363,185926,205378,230659,242978
314,"Baker County,  Florida",12003,146831,130879,129431,145377,156150
315,"Bay County,  Florida",12005,183516,186281,186159,213931,227542
316,"Bradford County,  Florida",12007,108400,95480,102737,116456,124086
317,"Brevard County,  Florida",12009,196589,211769,234362,243069,261905
318,"Broward County,  Florida",12011,259907,280525,290949,315841,336572
319,"Calhoun County,  Florida",12013,91751,84402,85931,89339,95192
320,"Charlotte County,  Florida",12015,201110,205891,213967,237064,259344
321,"Citrus County,  Florida",12017,128340,135994,145438,164384,175154
322,"Clay County,  Florida",12019,192207,192049,208545,224502,241138
323,"Collier County,  Florida",12021,359273,380260,383804,385398,418379
324,"Columbia County,  Florida",12023,122029,153508,131169,169954,181089
325,"DeSoto County,  Florida",12027,97705,88306,89208,92177,98216
326,"Dixie County,  Florida",12029,89685,75540,78744,82507,87913
327,"Duval County,  Florida",12031,176545,200911,205012,217280,233381
328,"Escambia County,  Florida",12033,138412,154338,158993,185661,199419
329,"Franklin County,  Florida",12037,148990,142746,147446,174474,185905
330,"Gadsden County,  Florida",12039,123750,106305,108491,101186,106507
331,"Gilchrist County,  Florida",12041,120170,104226,104019,110178,116062
332,"Glades County,  Florida",12043,102688,84508,80752,80615,85897
333,"Gulf County,  Florida",12045,173416,159732,158862,168904,179969
334,"Hamilton County,  Florida",12047,84460,77545,75150,84189,89704
